catalogId,title,brand,model,action,reason,url
cmqphcs4y00bf10tc41zowg7a,AXKID ONE 3 Extended Rear Facing Car Seat in Arctic Mist Grey,AXKID,ONE 3 Extended Rear Facing,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3142808&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Faxkid-one-3-extended-rear-facing-car-seat%2F81578%2F3142808&intsrc=CATF_8981
cmqphcrvd00bc10tcbymsagbj,AXKID ONE 3 Extended Rear Facing Car Seat in Coastal Storm Black,AXKID,ONE 3 Extended Rear Facing,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3142807&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Faxkid-one-3-extended-rear-facing-car-seat%2F81578%2F3142807&intsrc=CATF_8981
cmqphcse300bi10tc927aggn5,AXKID ONE 3 Extended Rear Facing Car Seat in Glacier Lake Blue,AXKID,ONE 3 Extended Rear Facing,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3142809&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Faxkid-one-3-extended-rear-facing-car-seat%2F81578%2F3142809&intsrc=CATF_8981
cmqphcsne00bl10tcnlkehrjn,AXKID ONE 3 Extended Rear Facing Car Seat in Nordic Bloom Green,AXKID,ONE 3 Extended Rear Facing,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3142810&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Faxkid-one-3-extended-rear-facing-car-seat%2F81578%2F3142810&intsrc=CATF_8981
cmqphgqje005ldqwrzx9nzt9t,Baby Jogger City GO 2 Infant Car Seat in Frosted Ivory,Baby Jogger,City GO 2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2487990&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F2487990&intsrc=CATF_8981
cmqphgq9q005idqwrz2k60sm7,Baby Jogger City GO 2 Infant Car Seat in Harbor Grey,Baby Jogger,City GO 2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1948797&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F1948797&intsrc=CATF_8981
cmqphgq0d005fdqwrlzxex21e,Baby Jogger City GO 2 Infant Car Seat in Lunar Black,Baby Jogger,City GO 2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1948796&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F1948796&intsrc=CATF_8981
cmqphgpqt005cdqwrgmgdmzcd,Baby Jogger City GO 2 Infant Car Seat in Slate,Baby Jogger,City GO 2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=219570&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F219570&intsrc=CATF_8981
cmqphh2hi009cdqwr3pe4hsmd,Baby Trend EZ-Lift Pro Infant Car Seat in Dash Black,Baby Trend,EZ-Lift Pro,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2181869&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-ez-lift-pro-infant-car-seat%2F58136%2F2181869&intsrc=CATF_8981
cmqphh3ju009odqwr0z18q5ij,Baby Trend Secure-Lift 35 Infant Car Seat in Dash Grey,Baby Trend,Secure-Lift 35,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1701777&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-secure-lift-35-infant-car-seat%2F44801%2F1701777&intsrc=CATF_8981
cmqx4j4mx000o3a8ufhvt0st8,"Britax - Willow SC Infant Car Seat, Rear Facing Car Seat",Britax,Willow SC,skip-no-model,"model was empty, too long, or accessory-like",https://www.macrobaby.com/products/britax-willow-sc-infant-car-seat-rear-facing-car-seat?_j=taylormadebabyco.com
