brand,model,gbgPrice,originalPrice,pctOff,inStock,gbgTitle,url
Silver Cross,Wave,149.36,1399.99,89,true,"Silver Cross Wave Stroller, Eclipse, Unknown Year",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42266255130727&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fdraft-silver-cross-wave-stroller-eclipse-unknown-year&intsrc=APIG_26298
Silver Cross,Wave,232.74,1399.99,83,true,"Silver Cross Wave Stroller, Sable, Unknown Year",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42345622765671&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-wave-stroller-sable-unknown-year-1&intsrc=APIG_26298
Cybex,Coya,157.62,599.95,74,true,"Cybex Coya Stroller, Cozy Beige, Matte Black, unknown",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43734534717543&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-cozy-beige-matte-black-unknown&intsrc=APIG_26298
Cybex,Coya,299.95,999.95,70,true,"Cybex Coya Stroller, 2023, Matte Black, We The Best x DJ Khaled",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43839404605543&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-matte-black-we-the-best-x-dj-khaled&intsrc=APIG_26298
Cybex,Coya,299.95,999.95,70,true,"Cybex Coya Stroller, 2023, Matte Black, Rockstar (Red)",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43839405654119&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-matte-black-rockstar-red&intsrc=APIG_26298
Orbit Baby,G5,395.99,1165,66,true,"Orbit Baby G5 Stroller, 2024, Black, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43941423415399&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Forbit-baby-g5-stroller-2024-black-rose-gold&intsrc=APIG_26298
Cybex,Coya,216.99,599.95,64,true,"Cybex Coya Stroller, 2024, Peach Pink, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43836456304743&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-peach-pink-rose-gold-1&intsrc=APIG_26298
Cybex,Coya,226.99,599.95,62,true,"Cybex Coya Stroller, 2024, Mirage Grey, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43838887788647&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-mirage-grey-rose-gold-4&intsrc=APIG_26298
Cybex,Coya,226.99,599.95,62,true,"Cybex Coya Stroller, 2023, Off White, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43417185812583&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-off-white-rose-gold-6&intsrc=APIG_26298
Cybex,Balios S Lux,274.35,699.95,61,true,"Cybex Balios S Lux Stroller, 2024, Lava Grey, Silver Frame",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43743278137447&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-balios-s-lux-stroller-2024-lava-grey-silver-frame&intsrc=APIG_26298
Mompush,Wiz,66.99,169.99,61,true,"Mompush Wiz Stroller, 2025, Black",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43960675270759&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fmompush-wiz-stroller-2025-black-11&intsrc=APIG_26298
Mompush,Wiz,66.99,169.99,61,true,"Mompush Wiz Stroller, 2025, Khaki",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43941569593447&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fmompush-wiz-stroller-2025-khaki-11&intsrc=APIG_26298
