id,provider,brand,title,tmbcCategory,productType,price,affiliateUrl,imageUrl,active_in_feed
cmqu9dt6h001r6bye1l8s5h5x,awin_anbbaby,Agio by Peg Perego,AGIO Car Seat Adapter For Z4 and YPSI Stroller,Travel Systems & Adapters,stroller adapter,49.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fpeg-perego-car-seat-adapter-for-ypsi%3Fvariant%3D31982217658454,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/agio-car-seat-adapter-for-z4-and-ypsi-strollerppikcs0018anb-babyanb-baby-272471.jpg?v=1739539875,t
cmr2gpctn0000dm5jkq3tgtn3,manual_tmbc,Baby,Baby Jogger City Mini GT2 Car Seat Adapter,Travel Systems & Adapters,car seat adapter,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,,t
cmr2gpd4o0003dm5j09lzac9e,manual_tmbc,Baby,Baby Jogger City Select 2 Car Seat Adapter,Travel Systems & Adapters,car seat adapter,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-select-premier-chicco-peg-perego?_j=taylormadebabyco.com,,t
cmr2gpd9w0006dm5j4jzd6i1i,manual_tmbc,Baby,Baby Jogger Summit X3 Car Seat Adapter,Travel Systems & Adapters,car seat adapter,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,,t
cmqu9f2ke00496byelo83ecb3,awin_anbbaby,Baby Jogger,"Baby Jogger Britax Car Seat Adapter, City Select 2, Black",Travel Systems & Adapters,stroller adapter,54.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-car-seat-adapter-city-select-2-black%3Fvariant%3D39484248293462,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/baby-jogger-britax-car-seat-adapter-city-select-2-blackbj2151253anb-babyanb-baby-950772.jpg?v=1739552839,t
cmqu9drhx001l6byefitecyp2,awin_anbbaby,Baby Jogger,"Baby Jogger Britax Mounting Bracket Car Seat Adapter for City Mini, Black",Travel Systems & Adapters,stroller adapter,29.95,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-mounting-bracket-car-seat-adapter-for-city-mini-black%3Fvariant%3D31251708051542,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/1144325.jpg?v=1752790639,t
cmqu9dr7u001i6byejc6ptzvw,awin_anbbaby,Baby Jogger,BABY JOGGER Car Seat Adapter (City Select / City Premier) For Britax / BOB - Black,Travel Systems & Adapters,stroller adapter,49.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-select-premier-britax-bob%3Fvariant%3D49935881732382,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/BABY_JOGGER_Car_Seat_Adapter_City_Select_City_Premier_For_Britax_BOB_1.jpg?v=1752790827,t
cmqu9d6gi000c6byeyinqyf93,awin_anbbaby,Baby Jogger,"BABY JOGGER Car Seat Adapter (City Select, City Select LUX, City Premier) For City GO / Graco",Travel Systems & Adapters,stroller adapter,54.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-single-baby-city-premier%3Fvariant%3D16411943665764,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/Baby_Jogger_Adapter_for_CityGO_Graco_for_City_Select_Black_1.jpg?v=1752788361,t
cmqu9dper001f6bye6uso27u5,awin_anbbaby,Baby Jogger,BABY JOGGER Car Seat Adapter For City Mini 2 and GT2 City Go/Graco - Black,Travel Systems & Adapters,stroller adapter,54.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-mini-city-go-graco%3Fvariant%3D49936124510494,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/BABY-JOGGER-Car-Seat-Adapter-For-City-Mini-2-and-GT2-City-Go-Graco_1.jpg?v=1752790619,t
cmqx4kfxf00fc3a8u5o4m2y7g,shopify_macrobaby,Baby Jogger,Baby Jogger - Car Seat Adapter for City Mini 2 Double/City Mini Gt 2 Double,Travel Systems & Adapters,stroller adapter,49.99,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-for-city-mini-2-double-city-mini-gt-2-double?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/baby-jogger-car-seat-adapter-for-city-mini-2-double-city-mini-gt-2-double_image_1.jpg?v=1774911464,t
