id,brand,model,displayName,seat_type,summary,amazonUrl,manualBabylistUrl,imageUrl,babylistSku,babylistUrl,babylistPrice,babylistImage,createdAt,updatedAt
baby-jogger-city-go-2,Baby Jogger,City GO 2,Baby Jogger City GO 2,INFANT,Lightweight infant car seat with Maxi-Cosi-style click connector; compatible with Mockingbird via Nuna/Maxi-Cosi/CYBEX adapter,,,,product_8981_219570,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=219570&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F219570&intsrc=APIG_8981,399.99,https://images.ctfassets.net/50gzycvace50/120168dce52c83f3135455e7fcc39e65761f4c72c3db6db73c414087be94cd92/efbda51a88bdff65e0adadef060760ee/120168dce52c83f3135455e7fcc39e65761f4c72c3db6db73c414087be94cd92.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-13 20:48:32.741,2026-06-21 03:52:00.282
cmqx4qowc000038356zwhetli,Baby Trend,EZ-Lift Pro,Baby Trend EZ-Lift Pro,INFANT,MacroBaby catalog infant car seat. Retailer offer is resolved from the affiliate catalog.,,,,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2181869&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-ez-lift-pro-infant-car-seat%2F58136%2F2181869&intsrc=CATF_8981,119.99,https://images.ctfassets.net/50gzycvace50/69797e9b5d83b535f96e00883b91aa5875e453dde7f825a3f2ed6d5c96ea67d1/a6f64e417b2ffdeba135cb118153933c/69797e9b5d83b535f96e00883b91aa5875e453dde7f825a3f2ed6d5c96ea67d1.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 01:48:18.444,2026-06-28 01:55:55.069
cmqx4qp1700013835r8xduy8t,Baby Trend,Secure-Lift 35,Baby Trend Secure-Lift 35,INFANT,MacroBaby catalog infant car seat. Retailer offer is resolved from the affiliate catalog.,,,,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1701777&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-secure-lift-35-infant-car-seat%2F44801%2F1701777&intsrc=CATF_8981,154.99,https://images.ctfassets.net/50gzycvace50/40b1d0d23dc9c8ac181994ea8ccd9d696eb63b5ad33fca3093c680920ab122c4/04ff208874844f478efc78878e6b8a75/40b1d0d23dc9c8ac181994ea8ccd9d696eb63b5ad33fca3093c680920ab122c4.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 01:48:18.62,2026-06-28 01:55:55.239
britax-cypress-s,Britax,Cypress S,Britax Cypress,INFANT,Infant car seat,,,https://m.media-amazon.com/images/I/718lRGU5fiL._SX679_.jpg,,,,,2026-03-22 17:19:43.93,2026-07-26 20:33:21.046
cmrdwvbnq000t7tmafab2vby3,Britax,Galaxy 360,Britax Galaxy 360,CONVERTIBLE,,https://amzn.to/44JJX02,,,,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbritax-galaxy360-slim-rotating-convertible-car-seat%2F80446%2F2903589&partnerpropertyid=7490466,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVQTIERwNDTh61LVlva542uP0vx2y2HmBT3XEUUrtYgw&s,2026-07-09 19:40:02.63,2026-07-09 19:40:02.63
britax-willow-s,Britax,Willow S,Britax Willow S,INFANT,Britax infant car seat — uses the shared Maxi-Cosi / Nuna / CYBEX / Clek click-and-go adapter.,,,https://m.media-amazon.com/images/I/719e+8XYpWL._SL1500_.jpg,,,,https://cdn.shopify.com/s/files/1/0685/7329/8919/files/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-graphite-onyx-87.jpg?v=1763451621,2026-03-22 17:19:43.856,2026-07-26 20:30:02.384
cmqt1dq4e00043u44vihpznhm,Britax,Willow SC,,INFANT,Britax infant car seat — uses the shared Maxi-Cosi / Nuna / CYBEX / Clek click-and-go adapter.,,,https://m.media-amazon.com/images/I/818HJZHdg4L._SL1500_.jpg,,,,https://cdn.shopify.com/s/files/1/0685/7329/8919/files/britax-willow-sc-infant-car-seat-with-alpine-base-pindot-onyx-95.jpg?v=1763451496,2026-06-25 05:03:09.95,2026-07-26 20:30:48.179
cmqx4qp4e00023835j1p6ghf9,Bugaboo,Turtle Air Shield by Nuna,Bugaboo Turtle Air Shield by Nuna,INFANT,MacroBaby catalog infant car seat. Retailer offer is resolved from the affiliate catalog.,,,,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2116047&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-turtle-air-shield-by-nuna-car-seat-recline-base%2F56787%2F2116047&intsrc=CATF_8981,649,https://images.ctfassets.net/50gzycvace50/ca18dd160323f5276e097170b7e254a408ebade014a43e08106c396f97beca95/3a4476d44f0222e97ff67f35cabee299/ca18dd160323f5276e097170b7e254a408ebade014a43e08106c396f97beca95.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 01:48:18.735,2026-06-28 01:55:55.324
chicco-keyfit-30,Chicco,KeyFit 30,Chicco KeyFit 30,INFANT,"Lightweight, easy-to-install Chicco infant seat compatible with a wide range of strollers via Chicco adapter",,,,product_8981_1101932,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1101932&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-30-cleartex-infant-car-seat%2F24729%2F1101932&intsrc=APIG_8981,229.99,https://images.ctfassets.net/50gzycvace50/74bc391c3db5478d7451c52918f1ee631ae6846387b3d7adb754fdcebbc7421c/17f4fae7cdcc9471ef294f73e8811cb5/74bc391c3db5478d7451c52918f1ee631ae6846387b3d7adb754fdcebbc7421c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-15 20:33:14.735,2026-06-21 03:52:02.362
cmqx4qp6y00033835pgtlizxk,Chicco,KeyFit 30 ClearTex,Chicco KeyFit 30 ClearTex,INFANT,MacroBaby catalog infant car seat. Retailer offer is resolved from the affiliate catalog.,,,,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1101932&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-30-cleartex-infant-car-seat%2F24729%2F1101932&intsrc=CATF_8981,229.99,https://images.ctfassets.net/50gzycvace50/74bc391c3db5478d7451c52918f1ee631ae6846387b3d7adb754fdcebbc7421c/17f4fae7cdcc9471ef294f73e8811cb5/74bc391c3db5478d7451c52918f1ee631ae6846387b3d7adb754fdcebbc7421c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 01:48:18.827,2026-06-28 01:55:55.408
cmqx4qp9s00043835h85g6sl0,Chicco,KeyFit Max ClearTex,Chicco KeyFit Max ClearTex,INFANT,MacroBaby catalog infant car seat. Retailer offer is resolved from the affiliate catalog.,,,,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383558&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-cleartex-infant-car-seat%2F71751%2F2383558&intsrc=CATF_8981,249.99,https://images.ctfassets.net/50gzycvace50/11a35a05e026ca0ad2855f846f8b0ad59f2f109eab19876d6ac6a7deace734d6/ff55cb0338585bbee0960b9cc1b514c0/11a35a05e026ca0ad2855f846f8b0ad59f2f109eab19876d6ac6a7deace734d6.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 01:48:18.928,2026-06-28 01:55:55.49
