id,provider,brand,title,canonicalBrand,canonicalName,tmbcCategory,productType,review_status,needs_review,active_in_feed,retailer,itemGroupId,price,productUrl
cmqu6xehf008uqut18bqsl0bi,awin_anbbaby,7AM Enfant,7 AM Enfant Adult Warmmuffs Stroller Gloves with Universal Fit - Heather Grey,7AM Enfant,7 AM Enfant Adult Warmmuffs Stroller Gloves with Universal Fit - Heather Grey,Strollers,full-size stroller,REVIEWED,f,t,ANB Baby,,48,
cmr6sh12t008o4ubx6noxzxef,impact_goodbuygear,AmorosO,"AmorosO Twin Lightweight Umbrella Stroller, 2017, Red/Black",AmorosO,Twin Umbrella,Strollers,umbrella stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,73.99,
cmqphgr1z005rdqwreo6dwjci,babylist_impact,Baby Jogger,Baby Jogger City Mini Air Stroller in Rich Black,Baby Jogger,Baby Jogger City Mini Air Stroller in Rich Black,Strollers,compact stroller,AUTO_CATEGORIZED,f,t,Babylist,50397,499.99,https://www.babylist.com/gp/baby-jogger-city-mini-air-stroller/50397/2096077
cmqu6xw8w00doqut11167xx0j,awin_anbbaby,Baby Jogger,Baby Jogger City Mini GT2 Baby Stroller - Stone Grey,Baby Jogger,Baby Jogger City Mini GT2 Baby Stroller - Stone Grey,Strollers,full-size stroller,REVIEWED,f,t,ANB Baby,,429.99,
cmqphgruw0060dqwr215m86y5,babylist_impact,Baby Jogger,Baby Jogger City Mini GT2 Double Stroller in Jet,Baby Jogger,Baby Jogger City Mini GT2 Double Stroller in Jet,Strollers,double stroller,AUTO_CATEGORIZED,f,t,Babylist,17846,749.99,https://www.babylist.com/gp/baby-jogger-city-mini-gt2-double-stroller/17846/352733
cmqzu8hn0000613vrrb91bqti,shopify_macrobaby,Baby Jogger,"Baby Jogger City Mini GT3 All Terrain Stroller, Sierra Sand",Baby Jogger,City Mini GT3,Strollers,jogging stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7539215171643,519.99,https://www.macrobaby.com/products/baby-jogger-city-mini-gt3-all-terrain-stroller-sierra-sand?_j=taylormadebabyco.com
cmqx4jjyh005f3a8upomg749o,shopify_macrobaby,Baby Jogger,"Baby Jogger - City Mini GT3 Single Stroller, Frosted Ivory",Baby Jogger,City Mini GT3 Single,Strollers,jogging stroller,REVIEWED,f,t,MacroBaby,7461921325115,519.99,https://www.macrobaby.com/products/baby-jogger-city-mini-gt3-single-stroller-frosted-ivory?_j=taylormadebabyco.com
cmqphgtp6006ldqwrcciu7je9,babylist_impact,Baby Jogger,Baby Jogger City Prix Jogger Stroller in Ambition Black,Baby Jogger,Baby Jogger City Prix Jogger Stroller in Ambition Black,Strollers,jogging stroller,REVIEWED,f,t,Babylist,55793,699.99,https://www.babylist.com/gp/baby-jogger-city-prix-jogger-stroller/55793/2096073
cmqzu97os000c13vrcdwrwa7c,shopify_macrobaby,Baby Jogger,"Baby Jogger - City Select 2 Single to-Double Stroller, Radiant Slate",Baby Jogger,City Select 2,Strollers,single-to-double stroller,AUTO_CATEGORIZED,f,t,MacroBaby,6719661047867,659.99,https://www.macrobaby.com/products/baby-jogger-stroller-city-select-2-bj-radiant-slate?_j=taylormadebabyco.com
cmqphgvam0073dqwrhwjqc4we,babylist_impact,Baby Jogger,"""Baby Jogger City Select 2 Stroller, Eco Collection in Lunar Black Size 35"""" x 23.8"""" x 41.1""""""",Baby Jogger,"""Baby Jogger City Select 2 Stroller, Eco Collection in Lunar Black Size 35"""" x 23.8"""" x 41.1""""""",Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,22652,749.99,https://www.babylist.com/gp/baby-jogger-city-select-2-stroller-eco-collection/22652/882925
cmqu6wmpo0013qut1lc1gdxcg,awin_anbbaby,Baby Jogger,BABY JOGGER City Select LUX Double Stroller - Granite,Baby Jogger,BABY JOGGER City Select LUX Double Stroller - Granite,Strollers,double stroller,REVIEWED,f,t,ANB Baby,,819.99,
cmqu6wm5z000xqut1s79hf083,awin_anbbaby,Baby Jogger,BABY JOGGER City Select LUX Stroller - Granite,Baby Jogger,BABY JOGGER City Select LUX Stroller - Granite,Strollers,full-size stroller,REVIEWED,f,t,ANB Baby,,619.99,
cmqphgvju0076dqwrl9pmxyy5,babylist_impact,Baby Jogger,Baby Jogger City Tour 2 Double Stroller in Jet,Baby Jogger,Baby Jogger City Tour 2 Double Stroller in Jet,Strollers,double stroller,REVIEWED,f,t,Babylist,15025,499.99,https://www.babylist.com/gp/baby-jogger-city-tour-2-double-stroller/15025/184757
cmqx4kh9k00fr3a8umtyshc42,shopify_macrobaby,Baby Jogger,"Baby Jogger - City Tour 2 Single Stroller, Coastal",Baby Jogger,City Tour 2 Single,Strollers,travel stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7133391978555,299.99,https://www.macrobaby.com/products/baby-jogger-city-tour-2-single-stroller-coastal?_j=taylormadebabyco.com
cmqphgw32007cdqwrn3dwhfhf,babylist_impact,Baby Jogger,"""Baby Jogger City Tour 2 Stroller, Eco Collection in Eco Black Size 37.75"""" x 19.6"""" x 39.5""""""",Baby Jogger,"""Baby Jogger City Tour 2 Stroller, Eco Collection in Eco Black Size 37.75"""" x 19.6"""" x 39.5""""""",Strollers,travel stroller,REVIEWED,f,t,Babylist,50398,389.99,https://www.babylist.com/gp/baby-jogger-city-tour-2-stroller-eco-collection/50398/1900515
