id,brand,model,displayName,summary,amazonUrl,manualBabylistUrl,imageUrl,babylistSku,babylistUrl,babylistPrice,babylistImage,createdAt,updatedAt
baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,"The everyday classic: 19.3 lb, signature one-hand fold with auto-lock, near-flat recline from birth, 50 lb limit and a 10 lb under-seat basket. City-friendly and easy to live with.",,,,product_8981_184757,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=184757&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-tour-2-double-stroller%2F15025%2F184757&intsrc=APIG_8981,499.99,https://images.ctfassets.net/50gzycvace50/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa/860874cb071dbeb06c399552678ae683/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:21.97
cmqpqqwk300007qlluagi0835,Baby Jogger,City Mini Air,Baby Jogger City Mini Air,"The City Mini with air-filled tires for a smoother roll — signature one-hand fold, near-flat recline from birth, 50 lb limit. Everyday city comfort.",,,,product_8981_1900513,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1900513&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-mini-air-stroller%2F50397%2F1900513&intsrc=CATF_8981,499.99,https://images.ctfassets.net/50gzycvace50/71fbbcb4f9255d58117b035cb3f76eed2c9b1d8b6889ec5f98ae079a149ffc17/cb03eebc4e9f9717791314910fd387b2/71fbbcb4f9255d58117b035cb3f76eed2c9b1d8b6889ec5f98ae079a149ffc17.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:10.515,2026-07-20 22:06:21.979
baby-jogger-city-mini-double,Baby Jogger,City Mini Double,Baby Jogger City Mini Double,"The everyday City Mini as a fits-through-doorways double — signature one-hand fold, near-flat recline from birth, 50 lb per seat. Light and nimble for two.",,,,product_8981_352733,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=352733&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-mini-gt2-double-stroller%2F17846%2F352733&intsrc=APIG_8981,749.99,https://images.ctfassets.net/50gzycvace50/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932/da3bfda651a0bec8466231d1060c1fc2/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:21.985
baby-jogger-city-mini-gt2,Baby Jogger,City Mini GT2,Baby Jogger City Mini GT2,"Baby Jogger’s all-terrain everyday hero: never-flat forever-air tires, all-wheel suspension, signature one-hand fold, 65 lb limit. Handles curbs, gravel and grass — but it is not a running stroller.",,,,product_8981_352733,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=352733&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-mini-gt2-double-stroller%2F17846%2F352733&intsrc=APIG_8981,749.99,https://images.ctfassets.net/50gzycvace50/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932/da3bfda651a0bec8466231d1060c1fc2/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:21.992
cmqpqqwou00017qllo1wcl8jj,Baby Jogger,City Mini GT2 Double,Baby Jogger City Mini GT2 Double,"The all-terrain City Mini GT2 in a side-by-side double — forever-air tires, all-wheel suspension, one-hand fold, 65 lb per seat. A go-anywhere everyday double (not for jogging).",,,,product_8981_352733,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=352733&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-mini-gt2-double-stroller%2F17846%2F352733&intsrc=CATF_8981,749.99,https://images.ctfassets.net/50gzycvace50/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932/da3bfda651a0bec8466231d1060c1fc2/1351a5ea7fa772f59272061ac8e54253a88158bf71700923aac77ffdd7a16932.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:10.686,2026-07-20 22:06:21.999
cmqx8d2vr000313kps957hgge,Baby Jogger,City Mini GT3,Baby Jogger City Mini GT3,"The newest all-terrain City Mini: forever-air rubber tires and all-wheel suspension for streets and trails, one-hand fold, from birth (with an infant seat) to 65 lb. An everyday all-terrain, not a jogger.",,,,public_catalog_babyjogger|cityminigt3,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2444112&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-mini-gt3-all-terrain-stroller%2F73651%2F2444112&intsrc=CATF_8981,479.99,https://images.ctfassets.net/50gzycvace50/f3427343fe2c786a1b651b5a7a6dc2cf180a6ce8b25e88b9f46785b585981a99/1a19d2d4121c6961da8e25065000e2bf/f3427343fe2c786a1b651b5a7a6dc2cf180a6ce8b25e88b9f46785b585981a99.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 03:29:41.847,2026-07-20 22:06:22.007
cms532d8l0001fa3swiip1z36,Baby Jogger,City Prix Jogger,Baby Jogger City Prix Jogger,,,,,public_catalog_babyjogger|cityprixjogger,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2096073&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-prix-jogger-stroller%2F55793%2F2096073&intsrc=CATF_8981,699.99,https://images.ctfassets.net/50gzycvace50/b20f037634f798914e51195dcb0279f04b5c11c71d46c882703738de59ddb43c/e42603fbb8b214ef9b7342a638d6bfd9/b20f037634f798914e51195dcb0279f04b5c11c71d46c882703738de59ddb43c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-07-28 20:03:15.717,2026-07-28 20:03:15.717
baby-jogger-city-select-2,Baby Jogger,City Select 2,Baby Jogger City Select 2,"The single-to-double modular workhorse: 24 configurations, second seat included, bassinet-ready from birth, 45 lb per seat and a big 15 lb basket. Grows from one kid to three (with a glider board).",,,,product_8981_882947,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=882947&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-select-2-stroller%2F22658%2F882947&intsrc=APIG_8981,659.99,https://images.ctfassets.net/50gzycvace50/19e8de66703fcd248b6fd6b428baa06e922d1d3e27780777ebeab311d5e2c3b4/095651553528c69928371a3ccbe28418/19e8de66703fcd248b6fd6b428baa06e922d1d3e27780777ebeab311d5e2c3b4.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:22.015
baby-jogger-city-sights,Baby Jogger,City Sights,Baby Jogger City Sights,"Compact-modular everyday stroller with a reversible, reclining seat and bassinet compatibility for use from birth. 24.4 lb, one-hand fold, 50 lb limit.",,,,product_8981_184757,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=184757&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-tour-2-double-stroller%2F15025%2F184757&intsrc=APIG_8981,499.99,https://images.ctfassets.net/50gzycvace50/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa/860874cb071dbeb06c399552678ae683/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:22.023
baby-jogger-city-tour-2,Baby Jogger,City Tour 2,Baby Jogger City Tour 2,"Baby Jogger’s carry-on travel stroller: just 14 lb, folds 85% smaller into a compact cube, near-flat recline from birth, 45 lb limit. Marketed as carry-on approved — confirm your airline’s bin.",,,,product_8981_184757,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=184757&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-tour-2-double-stroller%2F15025%2F184757&intsrc=APIG_8981,499.99,https://images.ctfassets.net/50gzycvace50/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa/860874cb071dbeb06c399552678ae683/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:22.036
