externalId,title,brand,model,kind,productType,strollerCategory,url,price,salePrice,availability,action,matched,reasons,collections
7328921321531,"Uppababy - Minu V3 Compact Stroller, Jake (Charcoal/Carbon Frame/Black Leather)",UPPAbaby,Minu V3,stroller,travel stroller,Travel,https://www.macrobaby.com/products/uppababy-minu-v3-compact-stroller-jake-charcoal-carbon-frame-black-leather?_j=taylormadebabyco.com,499.99,,in stock,match-existing,Stroller:UPPAbaby Minu V3,duplicate risk: UPPAbaby Minu V2; duplicate risk: UPPAbaby Minu V3,stroller
6696267350075,Nuna - Trvl Stroller With Travel Bag Caviar,Nuna,Trvl,stroller,travel stroller,Travel,https://www.macrobaby.com/products/nuna-trvl-stroller-with-travel-bag-caviar?_j=taylormadebabyco.com,575,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Nuna TRVL lx; duplicate risk: Nuna TRVL Dubl,stroller
7295592923195,"Stokke - Yoyo³ Stroller Black Bundle 6M+, Toffee",Stokke,,,,,https://www.macrobaby.com/products/stokke-yoyo-stroller-black-bundle-6-toffee?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Stokke - Yoyo³ Stroller Black Bundle 6M+, Toffee""",stroller
7512942215227,"Mima - Miro Compact Stroller, Black Chassis/White Seat",Mima,,,,,https://www.macrobaby.com/products/mima-miro-compact-stroller-black-chassis-white-seat?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Mima - Miro Compact Stroller, Black Chassis/White Seat""",stroller
7306715103291,"Bugaboo - Butterfly Complete Compact Stroller, Dark Cherry",Bugaboo,Butterfly,stroller,travel stroller,Travel,https://www.macrobaby.com/products/bugaboo-butterfly-complete-compact-stroller-dark-cherry?_j=taylormadebabyco.com,549,,in stock,match-existing,Stroller:Bugaboo Butterfly,duplicate risk: Bugaboo Butterfly 2; duplicate risk: Bugaboo Butterfly,stroller
7406965686331,"Silver Cross - Clic Lightweight Stroller, Latte",Silver Cross,Clic,stroller,travel stroller,Travel,https://www.macrobaby.com/products/silver-cross-clic-lightweight-stroller-latte?_j=taylormadebabyco.com,399.99,,in stock,match-existing,Stroller:Silver Cross Clic,duplicate risk: Silver Cross Clic,stroller
7307237785659,"Uppababy - Vista V3 Stroller, Savannah (Pearl Gray Jacquard/Carbon Frame/Chestnut Leather)",UPPAbaby,Vista V3,stroller,single-to-double stroller,Single-to-Double,https://www.macrobaby.com/products/uppababy-vista-v3-stroller-savannah-pearl-gray-jacquard-carbon-frame-chestnut-leather?_j=taylormadebabyco.com,999.99,,in stock,match-existing,Stroller:UPPAbaby Vista V3,duplicate risk: UPPAbaby Vista V2; duplicate risk: UPPAbaby Vista V3,stroller
7147170431035,Cybex - Priam 4 Stroller Jeremy Scott Wings,Cybex,Priam 4,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/cybex-priam-4-single-stroller-jeremy-scott-wings?_j=taylormadebabyco.com,2299.95,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: CYBEX Priam,stroller
7135592316987,"Nuna - Mixx Next Stroller With Magnetic Buckle, Granite",Nuna,Mixx Next,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/nuna-mixx-next-stroller-with-magnetic-buckle-granite?_j=taylormadebabyco.com,900,,in stock,match-existing,Stroller:Nuna MIXX next,duplicate risk: Nuna MIXX next,stroller
7578001997883,"Chicco Corso Primo Cleartex Modular Travel System, Hazelnut",Chicco,,,,,https://www.macrobaby.com/products/chicco-corso-primo-cleartex-modular-travel-system-hazelnut?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Chicco Corso Primo Cleartex Modular Travel System, Hazelnut""",stroller
7560446967867,"Thule Spring 2 Single Child Stroller, Mid Blue",Thule,Spring 2 Single Child,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/thule-spring-2-single-child-stroller-mid-blue?_j=taylormadebabyco.com,499.95,,in stock,create-new,,,stroller
7554447409211,"Bugaboo Donkey 6 Complete Stroller, Black/Heritage Black",Bugaboo,Donkey 6,stroller,single-to-double stroller,Single-to-Double,https://www.macrobaby.com/products/bugaboo-donkey-6-complete-stroller-black-heritage-black?_j=taylormadebabyco.com,1699.99,,in stock,match-existing,Stroller:Bugaboo Donkey 6,duplicate risk: Bugaboo Donkey 6,stroller
7461921325115,"Baby Jogger - City Mini GT3 Single Stroller, Frosted Ivory",Baby Jogger,City Mini GT3 Single,stroller,compact stroller,Compact / Mid-Size,https://www.macrobaby.com/products/baby-jogger-city-mini-gt3-single-stroller-frosted-ivory?_j=taylormadebabyco.com,519.99,,in stock,create-new,,,stroller
7472493625403,"Peg Perego - Volo Ultra Lightweight Carry On Compliant Travel Strolle, Mon Amour (Beige & Pink)",Peg Perego,Volo Ultra Carry On Compliant Travel Strolle,stroller,travel stroller,Travel,https://www.macrobaby.com/products/peg-perego-volo-ultra-lightweight-carry-on-compliant-travel-strolle-mon-amour-beige-pink?_j=taylormadebabyco.com,279.99,279.99,in stock,create-new,,,stroller
7481575637051,"Maxi-Cosi - Fame Modular Stroller, Twillic Black",Maxi-Cosi,Fame Modular,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/maxi-cosi-fame-modular-stroller-twillic-black?_j=taylormadebabyco.com,999.99,,in stock,create-new,,,stroller
7487306563643,"Chicco - Bravo Primo ClearTex Trio Travel System, Somerset/Black",Chicco,,,,,https://www.macrobaby.com/products/chicco-bravo-primo-cleartex-trio-travel-system-somerset-black?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Chicco - Bravo Primo ClearTex Trio Travel System, Somerset/Black""",stroller
7539214975035,"Baby Jogger City Tour 2 Ultra-Compact Travel Stroller, Eco Black",Baby Jogger,City Tour 2 Ultra- Travel,stroller,travel stroller,Travel,https://www.macrobaby.com/products/baby-jogger-city-tour-2-ultra-compact-travel-stroller-eco-black?_j=taylormadebabyco.com,389.99,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Baby Jogger City Tour 2,stroller
7161563578427,"Maxi-Cosi - Zelia2 Luxe 5-in-1 Modular Travel System, New Hope Black",Maxi-Cosi,,,,,https://www.macrobaby.com/products/maxi-cosi-zelia2-luxe-5-in-1-modular-travel-system-new-hope-black?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Maxi-Cosi - Zelia2 Luxe 5-in-1 Modular Travel System, New Hope Black""",stroller
7250555240507,Joolz - Aer+ Lightweight Compact Stroller Sage Green,Joolz,Aer+,stroller,travel stroller,Travel,https://www.macrobaby.com/products/joolz-aer-lightweight-compact-stroller-sage-green-2?_j=taylormadebabyco.com,499,,in stock,match-existing,Stroller:Joolz Aer+,duplicate risk: Joolz Aer+,stroller
7288227561531,"Nuna - Trvl Double Stroller, Granite",Nuna,Trvl Double,stroller,double stroller,Double,https://www.macrobaby.com/products/nuna-trvl-double-stroller-with-travel-bag-granite?_j=taylormadebabyco.com,900,,in stock,create-new,,,stroller
7441983766587,"Romer - Tura Stroller, Peppercorn",Romer,Tura,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/romer-tura-stroller-peppercorn?_j=taylormadebabyco.com,949.99,,in stock,match-existing,Stroller:Romer Tura,duplicate risk: Romer Tura,stroller
7455320997947,"Silver Cross - Jet Lightweight Double Stroller + Essentials Bundle, Black",Silver Cross,,,,,https://www.macrobaby.com/products/silver-cross-jet-lightweight-double-stroller-essentials-bundle-black?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Silver Cross - Jet Lightweight Double Stroller + Essentials Bundle, Black""",stroller
7098652655675,"Ergobaby Metro+ Deluxe Compact Baby Stroller, London Grey",Ergobaby,Metro+ Deluxe Baby,stroller,travel stroller,Travel,https://www.macrobaby.com/products/ergobaby-compact-comfort-metro-deluxe-stroller-london-grey?_j=taylormadebabyco.com,400,,in stock,create-new,,,stroller
7120810672187,"UPPAbaby - G-LUXE Umbrella Stroller, Greyson (Charcoal Melange/Carbon)",UPPAbaby,G-LUXE Umbrella,stroller,umbrella stroller,Umbrella,https://www.macrobaby.com/products/uppababy-g-luxe-umbrella-stroller-greyson-charcoal-melange-carbon?_j=taylormadebabyco.com,249.99,,in stock,create-new,,,stroller
7373516046395,"DFY - R1 Single Stroller, Grey",DFY,R1 Single,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/dfy-r1-single-stroller-grey?_j=taylormadebabyco.com,650,,in stock,create-new,,,stroller
7488910721083,Peg Perego Ypsi Single to Double Stroller – Metal (Sage Green),Peg Perego,Ypsi Single to Double,stroller,single-to-double stroller,Single-to-Double,https://www.macrobaby.com/products/peg-perego-ypsi-new-2025-compact-single-to-double-stroller-compatible-with-all-primo-viaggio-infant-car-seats-ypsi-bassinets-made-in-italy?_j=taylormadebabyco.com,719.99,719.99,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Peg Perego YPSI,stroller
7208529461307,"Mima - Xari Max Stroller, Black/Camel/Black",Mima,Xari Max,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/mima-xari-max-stroller-black-camel-black?_j=taylormadebabyco.com,1499.99,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Mima Xari; duplicate risk: Mima Xari Sport,stroller
7156211580987,"Silver Cross - Wave Single-to-Double Stroller, Onyx",Silver Cross,Wave Single-to-Double,stroller,single-to-double stroller,Single-to-Double,https://www.macrobaby.com/products/silver-cross-wave-baby-stroller-single-to-double-stroller-onyx?_j=taylormadebabyco.com,1119.99,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Silver Cross Wave,stroller
7398069338171,"Bugaboo - Butterfly 2 Compact Stroller Complete, Black/Heritage Black",Bugaboo,Butterfly 2,stroller,travel stroller,Travel,https://www.macrobaby.com/products/bugaboo-butterfly-2-compact-stroller-complete-black-heritage-black?_j=taylormadebabyco.com,499,499,in stock,match-existing,Stroller:Bugaboo Butterfly 2,duplicate risk: Bugaboo Butterfly 2; duplicate risk: Bugaboo Butterfly,stroller
7439144386619,"Inglesina - Quid³ Compact Lightweight Stroller, Cosmic Black",Inglesina,Quid³,stroller,travel stroller,Travel,https://www.macrobaby.com/products/inglesina-quid-stroller-cosmic-black?_j=taylormadebabyco.com,399,,in stock,create-new,,,stroller
7328963166267,"Uppababy - Minu Duo Side By Side Compact Double Stroller, Jake (Charcoal/Carbon Frame/Black Leather)",UPPAbaby,Minu Duo Side By Side Double,stroller,double stroller,Double,https://www.macrobaby.com/products/uppababy-minu-duo-side-by-side-compact-double-stroller-jake-charcoal-carbon-frame-black-leather?_j=taylormadebabyco.com,749.99,,in stock,create-new,,,stroller
7406259667003,"Silver Cross - Clic Lightweight Stroller, Space (Black)",Silver Cross,Clic,stroller,travel stroller,Travel,https://www.macrobaby.com/products/silver-cross-clic-compact-stroller-black-space?_j=taylormadebabyco.com,399.99,,in stock,match-existing,Stroller:Silver Cross Clic,duplicate risk: Silver Cross Clic,stroller
7575751163963,"Cybex Platinum Coya Stroller Style Collection, Chrome Frame/City Grey Lux Seat",Cybex,Platinum Coya,stroller,travel stroller,Travel,https://www.macrobaby.com/products/cybex-platinum-coya-stroller-style-collection-chrome-frame-city-grey-lux-seat?_j=taylormadebabyco.com,699.95,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: CYBEX Coya,stroller
6677884108859,"Britax - BOB Gear Alterrain Pro All-Weather Jogging Stroller, Black",BOB,Britax - BOB Gear Alterrain Pro All-Weather,stroller,jogging stroller,Jogging,https://www.macrobaby.com/products/bob-gear-alterrain-pro-jogging-stroller-black?_j=taylormadebabyco.com,829.99,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: BOB Alterrain Pro,stroller
7538645139515,Chicco Corso Primo ClearTex Modular Travel System Stellar,Chicco,,,,,https://www.macrobaby.com/products/chicco-corso-primo-cleartex-modular-travel-system-stellar?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Chicco Corso Primo ClearTex Modular Travel System Stellar""",stroller
7176592064571,"BOB - Wayfinder Jogging Stroller, Nightfall",BOB,Wayfinder,stroller,jogging stroller,Jogging,https://www.macrobaby.com/products/bob-wayfinder-jogging-stroller-nightfall?_j=taylormadebabyco.com,679.99,,in stock,match-existing,Stroller:BOB Wayfinder,duplicate risk: BOB Wayfinder,stroller
7208531132475,"Mima - Xari MAX Stroller, Champagne/Black/Camel",Mima,Xari MAX,stroller,full-size stroller,Full-Size,https://www.macrobaby.com/products/mima-xari-max-stroller-champagne-camel-black?_j=taylormadebabyco.com,1499.99,,in stock,manual-review,,similar existing product/version requires review; duplicate risk: Mima Xari; duplicate risk: Mima Xari Sport,stroller
7295521062971,"Stokke - Yoyo³ Stroller Black Bundle 6+, Black",Stokke,,,,,https://www.macrobaby.com/products/stokke-yoyo-stroller-black-bundle-6-black?_j=taylormadebabyco.com,,,,skip,,"Matched exclusion in ""Stokke - Yoyo³ Stroller Black Bundle 6+, Black""",stroller
