category,stroller,seat_brand,seat_model,type,has_link,has_image
(uncategorized),Baby Jogger City Mini 2,Cybex,Cloud G Pro Comfort Extend,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Clek,Liing,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit Max Zip ClearTex,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Clek,Liingo,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Ambra,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Clek,Liing,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Clek,Liingo,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Cloud G Pro Comfort Extend,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Ambra,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Mico Pro,ADAPTER,false,false
