chart_brand_group,chart_seat_verbatim,chart_adapter_sku,classification,production_seat,frozen_row_status,note
BOB Gear,Champ,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),CATALOGUE_GAP,—,no row,BOB/Britax own seat; not in TMBC CarSeat catalog.
Britax (Willow family),Willow,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),CATALOGUE_GAP,—,no row,"Plain ""Willow"" not stocked (production has Willow S/SC)."
Britax (Willow family),Willow S,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),EXACT_CANONICAL_MATCH,Britax Willow S,"KEEP confirmed (Rev Flex 3.0, Alterrain Pro, Rambler, Renegade, Wayfinder)",Frozen KEEP validated on all single chassis carrying a row.
Britax (Willow family),Willow SC,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),EXACT_CANONICAL_MATCH,Britax Willow SC,"KEEP (Rev Flex 3.0, Wayfinder); ADD_CANDIDATE (Alterrain Pro, Rambler, Renegade)",Chart lists Willow SC across the family; production has no Willow SC row on Alterrain Pro/Rambler/Renegade -> ADD candidate.
Britax (Willow family),Cypress,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),EXACT_CANONICAL_MATCH,Britax Cypress S (bad id -> Cypress),KEEP confirmed (all single chassis),"Chart says ""Cypress""; production ""Cypress S"" is the same seat (canonicalized, per V1.1). Frozen KEEP validated."
Britax (B-Safe legacy),B-Safe 35,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),B-Safe 35 Elite,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),B-Safe Ultra,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),Endeavours,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),B-Safe Gen2,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),B-Safe Gen2 FlexFit,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Britax (B-Safe legacy),B-Safe Gen2 FlexFit Plus,S12045300 (mid),CATALOGUE_GAP,—,no row,Legacy Britax B-Safe; not stocked. Different adapter (S12045300) than the Willow family.
Romer,Juni,S14664700 (Wayfinder) / S943900 (Alterrain Pro/Alterrain/Revolution Flex/Revolution Pro/Stroller Strides/Rambler ONLY — NOT Blaze/Ironman/Sports Utility) / S14685500 (Renegade Wagon),CATALOGUE_GAP,—,no row,Euro Romer seat; not stocked.
Graco,Snug Ride SnugFit 35,S12045400 (mid),EXACT_CANONICAL_MATCH,Graco SnugRide SnugFit,KEEP confirmed (Rev Flex 3.0),Graco SnugRide family adapter S12045400. Frozen KEEP validated.
Graco,Snug Ride SnugFit 35 DLX,S12045400 (mid),EXACT_CANONICAL_MATCH,Graco SnugRide SnugFit DLX,KEEP confirmed,Validated.
Graco,Snug Ride 35 LX / SnugFit 35 XT/Elite,S12045400 (mid),IDENTITY_REVIEW_REQUIRED,Graco SnugRide Lite LX / SnugFit LX,"KEEP (via ""All SnugRide"" family)","Production ""SnugRide Lite LX"" / ""SnugFit LX"" not verbatim on chart; covered by the Graco SnugRide family adapter S12045400. KEEP not disturbed."
Graco,(no GoMax on chart),—,CATALOGUE_GAP,Graco GoMax,REMOVE confirmed,"GoMax is a travel system, not a SnugRide; chart Graco = SnugRide line only. Frozen REMOVE validated."
Maxi Cosi,Mico 30,S14664700 / S12046000 (mid),CATALOGUE_GAP,—,no row,Not stocked. Production Maxi-Cosi (Ambra/Mico Luxe/Mico Pro/Peri 180) are absent from chart -> those rows REMOVE confirmed.
