stroller,car_seat_brand,car_seat_model,adapter_sku,seat_group,pair_type
Wayfinder,BOB Gear,Champ,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,BOB Gear,Champ,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,BOB Gear,Champ,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Wayfinder,Britax,Willow,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,Britax,Willow,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,Britax,Willow,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Wayfinder,Britax,Willow S,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,Britax,Willow S,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,Britax,Willow S,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Wayfinder,Britax,Willow SC,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,Britax,Willow SC,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,Britax,Willow SC,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Wayfinder,Britax,Cypress,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,Britax,Cypress,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,Britax,Cypress,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Wayfinder,Romer,Juni,S14664700,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Rambler,Romer,Juni,S943900,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Renegade Wagon,Romer,Juni,S14685500,Newer Britax/Champ/Juni,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Alterrain,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Rambler,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Blaze,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Ironman,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Sports Utility,Britax,B-Safe 35,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Alterrain,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Rambler,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Blaze,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Ironman,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Sports Utility,Britax,B-Safe 35 Elite,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Alterrain Pro,Britax,B-Safe Ultra,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Alterrain,Britax,B-Safe Ultra,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Flex 2016+/2.0/3.0,Britax,B-Safe Ultra,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Revolution Pro 2016+,Britax,B-Safe Ultra,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
Stroller Strides 2016+,Britax,B-Safe Ultra,S12045300,Britax B-Safe legacy,EXACT_SOURCE_PAIR
