compatibility_id,stroller_model,car_seat_brand,car_seat_model,audit_action,consumer_compatibility_status,consumer_status_basis,lineage_hypothesis_type,lineage_anchor_model,lineage_anchor_compatibility_id,anchor_adapter_name,anchor_adapter_sku,anchor_manufacturer_source_url,lineage_source_url,lineage_validation_result,rejection_reason
cmr0r9tz2001lrvv08jz3ch8c,Alterrain Pro,Nuna,PIPA Aire,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9u3k001nrvv068kd7dfg,Alterrain Pro,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9u81001prvv08cmobhjh,Alterrain Pro,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9uck001rrvv0gwnmpjnp,Alterrain Pro,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-alterrain-pro__uppababy-mesa-v3,Alterrain Pro,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-rambler__nuna-pipa-aire-rx,Rambler,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-rambler__nuna-pipa-rx,Rambler,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr5mq9a8000j10s6kj0k8r2i,Rambler,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-renegade-wagon__nuna-pipa-aire-rx,Renegade Wagon,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-renegade-wagon__nuna-pipa-rx,Renegade Wagon,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr5mq93c000h10s6ccadrjne,Renegade Wagon,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw3hg7000ly3w4ylv8470k,Revolution Flex 3.0,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw3hgx000py3w4c7d6409v,Revolution Flex 3.0,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw3hbc000jy3w41ysh24hz,Revolution Flex 3.0,Cybex,Cloud G Pro Comfort Extend,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw3hbc000fy3w41gfd2qkp,Revolution Flex 3.0,Cybex,Cloud T,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw4aqo000zy3w4qqyd8kgc,Revolution Flex 3.0,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjw4aqn000xy3w4wkeztab7,Revolution Flex 3.0,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9uh2001trvv09b2v12do,Revolution Flex 3.0,Nuna,PIPA Aire,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-revolution-flex-3__nuna-pipa-aire-rx,Revolution Flex 3.0,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-revolution-flex-3__nuna-pipa-rx,Revolution Flex 3.0,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9uqx001vrvv02zml7tq5,Revolution Flex 3.0,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-revolution-flex-3__uppababy-mesa-v3,Revolution Flex 3.0,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
