platform,car_seat_brand,car_seat_model,condition,source_column,pair_type
Cruiser,Graco,All Graco Click Connect Systems,,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser,Graco,Baby Jogger City Go,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Graco,Baby Jogger City Mini GT,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Graco,SnugRide SnugLock (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser,Graco,SnugRide Click Connect,,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser,Britax,B-Safe 35,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,B-Safe 35 Elite,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,B-Safe Ultra,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,B-Safe Gen2,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,B-Safe Gen2 FlexFit,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,B-Safe Gen2 FlexFit+,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Endeavour,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Chaperone,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,UPPAbaby,Mesa,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,UPPAbaby,Mesa V2,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,UPPAbaby,Mesa Max,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,UPPAbaby,Aria,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Nuna,PIPA aire RX,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Nuna,PIPA lite lx,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Nuna,PIPA lite,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Nuna,PIPA RX,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Nuna,PIPA,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Cybex,Aton Q & M,,Cruiser & Cruiser City,COMBINED_SOURCE_ENTRY
Cruiser,Maxi-Cosi,Mico Max 30,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Maxi-Cosi,Mico 30,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Maxi-Cosi,Nxt,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Maxi-Cosi,Mico AP,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Clek,Liing,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Cypress,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Willow,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Willow S,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Britax,Willow SC,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser,Chicco,Fit2 (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
