compatibility_id,stroller_brand,stroller_model,car_seat_brand,car_seat_model,frozen_audit_action,corrected_audit_action,frozen_consumer_status,corrected_consumer_status,exact_veer_source_wording,manufacturer_source,reason_for_correction
cmqu9huhk0025bq8eyz29t0wu,Veer,All-Terrain Cruiser,Britax,Cypress S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Cypress"" — NO dagger (no seat-back-folded condition)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Cypress (production ""Cypress S"") under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"" — NO dagger (no seat-back-folded condition). Corrects frozen REMOVE."
cmqu9huci0021bq8e91p6m3o5,Veer,All-Terrain Cruiser,Britax,Willow S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow S †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow S (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqu9huez0023bq8e0fyrx7zw,Veer,All-Terrain Cruiser,Britax,Willow SC,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow SC †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow SC (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqx8piyi001xgq0cyfhzib32,Veer,Cruiser,Britax,Cypress S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Cypress"" — NO dagger (no seat-back-folded condition)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Cypress (production ""Cypress S"") under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"" — NO dagger (no seat-back-folded condition). Corrects frozen REMOVE."
cmqx8pitp001tgq0cz0m2wl11,Veer,Cruiser,Britax,Willow S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow S †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow S (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqx8piw4001vgq0c3yo9iqzi,Veer,Cruiser,Britax,Willow SC,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow SC †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow SC (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqzsb5j7005712dxia550crg,Veer,Cruiser City,Britax,Cypress S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Cypress"" — NO dagger (no seat-back-folded condition)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Cypress (production ""Cypress S"") under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"" — NO dagger (no seat-back-folded condition). Corrects frozen REMOVE."
cmqzsb5em005312dx8k5pstx0,Veer,Cruiser City,Britax,Willow S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow S †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow S (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqzsb5gy005512dxfsuqy20g,Veer,Cruiser City,Britax,Willow SC,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Willow SC †"" (†= requires Cruiser seat back folded down)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Willow SC (†, seat back folded down) under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"". Corrects frozen REMOVE."
cmqzsb8bz007f12dxgc5qwvfb,Veer,Cruiser City XL Essentials,Britax,Cypress S,REMOVE,KEEP_UPDATE,UNKNOWN,COMPATIBLE_WITH_ADAPTER,"Cruiser & Cruiser City / Cruiser XL & Cruiser City XL column lists ""Britax Cypress"" — NO dagger (no seat-back-folded condition)","Veer Infant Car Seat Compatibility Guide (updated Nov 2024), user-supplied PDF; Cruiser adapter page support.goveer.com/.../479257","Nov 2024 Veer guide lists Britax Cypress (production ""Cypress S"") under ""Cruiser & Cruiser City"" and ""Cruiser XL & Cruiser City XL"" — NO dagger (no seat-back-folded condition). Corrects frozen REMOVE."
