compatibility_id,stroller_model,car_seat_brand,car_seat_model,v11_audit_action,v12_audit_action,v11_consumer,v12_consumer,basis,reason
cmqu9huhk0025bq8eyz29t0wu,All-Terrain Cruiser,Britax,Cypress S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqu9huci0021bq8e91p6m3o5,All-Terrain Cruiser,Britax,Willow S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqu9huez0023bq8e0fyrx7zw,All-Terrain Cruiser,Britax,Willow SC,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqx8piyi001xgq0cyfhzib32,Cruiser,Britax,Cypress S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqx8pitp001tgq0cz0m2wl11,Cruiser,Britax,Willow S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqx8piw4001vgq0c3yo9iqzi,Cruiser,Britax,Willow SC,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb5j7005712dxia550crg,Cruiser City,Britax,Cypress S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb5em005312dx8k5pstx0,Cruiser City,Britax,Willow S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb5gy005512dxfsuqy20g,Cruiser City,Britax,Willow SC,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb8bz007f12dxgc5qwvfb,Cruiser City XL Essentials,Britax,Cypress S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb879007b12dxndnstl40,Cruiser City XL Essentials,Britax,Willow S,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
cmqzsb89q007d12dxr1ggo2mq,Cruiser City XL Essentials,Britax,Willow SC,KEEP_UPDATE,VERIFY,COMPATIBLE_WITH_ADAPTER,UNKNOWN,SOURCE_REVISION_CONFLICT,Nov 2024 guide lists on Cruiser; current Veer Cruiser adapters (479257 legacy-only; 479577 Britax->other) name no Cruiser adapter for newer Britax; 510552 routes to Switchback. 479257/MANUFACTURER_EXACT retracted.
