compatibility_id,stroller_brand,stroller_model,car_seat_brand,car_seat_model,production_compatibility_type,audit_action,audit_confidence,reason,evidence_type,source_type,manufacturer_source_url,source_name,source_date,compatibility_type,adapter_required,adapter_status,adapter_name,adapter_sku,adapter_url,adapter_generation,adapter_revision,compatibility_position,max_infant_car_seats,notes,consumer_compatibility_status,consumer_status_basis,lineage_anchor_model,lineage_source_url,lineage_hypothesis_type,lineage_anchor_compatibility_id
bob-alterrain-pro__britax-cypress-s,BOB,Alterrain Pro,Britax,Cypress S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
bob-alterrain-pro__britax-willow-s,BOB,Alterrain Pro,Britax,Willow S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
cmr0r9tz2001lrvv08jz3ch8c,BOB,Alterrain Pro,Nuna,PIPA Aire,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmr0r9u3k001nrvv068kd7dfg,BOB,Alterrain Pro,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmr0r9u81001prvv08cmobhjh,BOB,Alterrain Pro,Nuna,PIPA RX,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmr0r9uck001rrvv0gwnmpjnp,BOB,Alterrain Pro,Nuna,PIPA urbn,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-alterrain-pro__uppababy-aria,BOB,Alterrain Pro,UPPAbaby,Aria,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/uppa-baby-single-infant-car-seat-adapter-2021,BOB Single UPPAbaby adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
bob-alterrain-pro__uppababy-aria-v2,BOB,Alterrain Pro,UPPAbaby,Aria V2,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/uppa-baby-single-infant-car-seat-adapter-2021,BOB Single UPPAbaby adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
bob-alterrain-pro__uppababy-mesa-v3,BOB,Alterrain Pro,UPPAbaby,Mesa V3,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Alterrain Pro. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/uppa-baby-single-infant-car-seat-adapter-2021,BOB Single UPPAbaby adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
bob-rambler__britax-cypress-s,BOB,Rambler,Britax,Cypress S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
