stroller_brand,stroller_model,audit_action,row_count
BOB,Alterrain Pro,KEEP_UPDATE,2
BOB,Alterrain Pro,REMOVE,7
BOB,Rambler,KEEP_UPDATE,2
BOB,Rambler,REMOVE,3
BOB,Renegade Wagon,KEEP_UPDATE,2
BOB,Renegade Wagon,REMOVE,3
BOB,Revolution Flex 3.0,KEEP_UPDATE,11
BOB,Revolution Flex 3.0,REMOVE,21
BOB,Revolution Flex 3.0 Duallie,KEEP_UPDATE,6
BOB,Revolution Flex 3.0 Duallie,REMOVE,13
BOB,Wayfinder,KEEP_UPDATE,3
BOB,Wayfinder,REMOVE,14
Thule,Glide 2,REMOVE,9
Thule,Shine,KEEP_UPDATE,5
Thule,Shine,REMOVE,15
Thule,Sleek,REMOVE,11
Thule,Spring 2,KEEP_UPDATE,3
Thule,Spring 2,REMOVE,17
Thule,Urban Glide 2,REMOVE,10
Thule,Urban Glide 2 Double,REMOVE,10
Thule,Urban Glide 3,KEEP_UPDATE,9
Thule,Urban Glide 3,REMOVE,4
Thule,Urban Glide 3,VERIFY,2
Thule,Urban Glide 3 Double,KEEP_UPDATE,9
Thule,Urban Glide 3 Double,REMOVE,4
Thule,Urban Glide 3 Double,VERIFY,2
Thule,Urban Glide 4-Wheel Single Child,REMOVE,4
Thule,Urban Glide 4-wheel,KEEP_UPDATE,11
Thule,Urban Glide 4-wheel,REMOVE,7
Thule,Urban Glide 4-wheel,VERIFY,2
Veer,All-Terrain Cruiser,KEEP_UPDATE,3
Veer,All-Terrain Cruiser,REMOVE,12
Veer,All-Terrain Cruiser,VERIFY,3
Veer,Cruiser,KEEP_UPDATE,3
Veer,Cruiser,REMOVE,12
Veer,Cruiser,VERIFY,3
Veer,Cruiser City,KEEP_UPDATE,3
Veer,Cruiser City,REMOVE,12
Veer,Cruiser City,VERIFY,3
Veer,Cruiser City XL Essentials,KEEP_UPDATE,3
Veer,Cruiser City XL Essentials,REMOVE,12
Veer,Cruiser City XL Essentials,VERIFY,3
Veer,Cruiser Wagon Comfort Seat for Toddlers,EXCLUDE_PRODUCT,18
Veer,Cruiser Wagon XL Comfort Seat for Toddlers,EXCLUDE_PRODUCT,18
Veer,Cruiser XL Nap System,EXCLUDE_PRODUCT,18
Veer,Switch&Jog,KEEP_UPDATE,6
Veer,Switch&Jog,REMOVE,9
Veer,Switch&Jog Jogging,REMOVE,15
Veer,Switch&Roll,KEEP_UPDATE,6
Veer,Switch&Roll,REMOVE,9
BOB — TOTAL,(all models),KEEP_UPDATE,26
BOB — TOTAL,(all models),REMOVE,61
Thule — TOTAL,(all models),KEEP_UPDATE,37
Thule — TOTAL,(all models),REMOVE,91
Thule — TOTAL,(all models),VERIFY,6
Veer — TOTAL,(all models),KEEP_UPDATE,24
Veer — TOTAL,(all models),REMOVE,81
Veer — TOTAL,(all models),VERIFY,12
Veer — TOTAL,(all models),EXCLUDE_PRODUCT,54
BTV — GRAND TOTAL,(all),KEEP_UPDATE,87
BTV — GRAND TOTAL,(all),REMOVE,233
BTV — GRAND TOTAL,(all),VERIFY,18
BTV — GRAND TOTAL,(all),EXCLUDE_PRODUCT,54
BTV — CONSUMER,COMPATIBLE_WITH_ADAPTER,consumer_status,87
BTV — CONSUMER,SHOULD_WORK_UNVERIFIED,consumer_status,30
BTV — CONSUMER,NOT_COMPATIBLE,consumer_status,0
BTV — CONSUMER,UNKNOWN,consumer_status,202
BTV — CONSUMER,IDENTITY_DEDUP,consumer_status,19
BTV — CONSUMER,EXCLUDED_PRODUCT,consumer_status,54
