audit_id,source_chart,stroller_brand,stroller_model,adapter_sku,car_seat_brand,chart_car_seat_model,production_car_seat_model,source_basis,manufacturer_result,display_rule_result,stroller_present,car_seat_present,compatibility_row_present_pre_migration,live_public_result_present_pre_migration,recommended_action
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Clek,Liing,Liing,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Clek,Liingo,Liingo,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G Pro,Aton G Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,False,False,False,MISSING_CAR_SEAT_PRODUCT
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G2,Aton G2,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G2 Swivel,Aton G2 Swivel,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Cloud T,Cloud T,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Ambra,Ambra,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Mico Luxe,Mico Luxe,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Mico Pro,Mico Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,True,DISPLAY_AS_COMPATIBLE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Nuna,Aire,PIPA Aire,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER,True,True,False,False,KEEP_OR_UPSERT_NAMED_NUNA_TRIGGER
