audit_id,source_chart,stroller_brand,stroller_model,adapter_sku,car_seat_brand,chart_car_seat_model,production_car_seat_model,source_basis,manufacturer_result,display_rule_result
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Clek,Liing,Liing,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Clek,Liingo,Liingo,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G Pro,Aton G Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G2,Aton G2,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Aton G2 Swivel,Aton G2 Swivel,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,Cloud T,Cloud T,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Ambra,Ambra,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Mico Luxe,Mico Luxe,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Mico Pro,Mico Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Nuna,Aire,PIPA Aire,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Nuna,Aire RX,PIPA Aire rx,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Nuna,RX,PIPA RX,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Nuna,Pipa Urbn,PIPA urbn,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Cybex,,Cloud G Pro Comfort Extend,LOGICAL_SHARED_ADAPTER_FAMILY,NOT_NAMED_NO_EXCLUSION,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,,Mico XP,LOGICAL_SHARED_ADAPTER_FAMILY,NOT_NAMED_NO_EXCLUSION,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Joie,Gemm,Gemm,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Joie,i-Level,i-Level,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Joie,i-Gemm,i-Gemm,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Joie,Juva,Juva,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,YPSI,IKCS0018,Maxi-Cosi,Peri 180 Rotating,Peri 180,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Clek,Liing,Liing,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Clek,Liingo,Liingo,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Cybex,Aton G Pro,Aton G Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Cybex,Aton G2,Aton G2,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Cybex,Aton G2 Swivel,Aton G2 Swivel,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Cybex,Cloud T,Cloud T,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Maxi-Cosi,Ambra,Ambra,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Maxi-Cosi,Mico Luxe,Mico Luxe,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Maxi-Cosi,Mico Pro,Mico Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Nuna,Aire,PIPA Aire,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Nuna,Aire RX,PIPA Aire rx,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Nuna,RX,PIPA RX,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Nuna,Pipa Urbn,PIPA urbn,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Cybex,,Cloud G Pro Comfort Extend,LOGICAL_SHARED_ADAPTER_FAMILY,NOT_NAMED_NO_EXCLUSION,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Maxi-Cosi,,Mico XP,LOGICAL_SHARED_ADAPTER_FAMILY,NOT_NAMED_NO_EXCLUSION,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Joie,Gemm,Gemm,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Joie,i-Level,i-Level,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Joie,i-Gemm,i-Gemm,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Joie,Juva,Juva,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Vivace,IKCS0018,Maxi-Cosi,Peri 180 Rotating,Peri 180,MANUFACTURER_EXPLICIT_NEGATIVE,INCOMPATIBLE,BLOCK_LOGICAL_INFERENCE
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Switch,IKCS0018,Clek,Liing,Liing,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Switch,IKCS0018,Clek,Liingo,Liingo,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
PEG_WORKING_V0_2026_09_07,IKCS0018,Peg Perego,Switch,IKCS0018,Cybex,Aton G Pro,Aton G Pro,MANUFACTURER_NAMED,COMPATIBLE,COMPATIBLE_WITH_ADAPTER
