adapter_name,adapter_sku,adapter_brand,stroller_brand,stroller_models_named,car_seat_brands_named,car_seat_models_named,adapter_status,adapter_generation,adapter_revision,provider,catalog_product_id,babylist_url,amazon_url,other_retailer_url,exact_product_link,price,image_available,compatibility_rows_using_adapter,hard_coded_rule_source,inferred_from_title,duplicate_group,current_or_legacy,notes
AGIO Car Seat Adapter For Z4 and YPSI Stroller,,Agio by Peg Perego,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9dt6h001r6bye1l8s5h5x,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fpeg-perego-car-seat-adapter-for-ypsi%3Fvariant%3D31982217658454,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fpeg-perego-car-seat-adapter-for-ypsi%3Fvariant%3D31982217658454,49.99,yes,0,,yes,,current,productType=stroller adapter; active=t
Baby Jogger City Mini GT2 Car Seat Adapter,,Baby,,,,,SOLD_SEPARATELY,,,manual_tmbc,cmr2gpctn0000dm5jkq3tgtn3,,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,,no,0,,yes,,current,productType=car seat adapter; active=t
Baby Jogger City Select 2 Car Seat Adapter,,Baby,,,,,SOLD_SEPARATELY,,,manual_tmbc,cmr2gpd4o0003dm5j09lzac9e,,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-select-premier-chicco-peg-perego?_j=taylormadebabyco.com,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-select-premier-chicco-peg-perego?_j=taylormadebabyco.com,,no,0,,yes,,current,productType=car seat adapter; active=t
Baby Jogger Summit X3 Car Seat Adapter,,Baby,,,,,SOLD_SEPARATELY,,,manual_tmbc,cmr2gpd9w0006dm5j4jzd6i1i,,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,https://www.macrobaby.com/products/baby-jogger-car-seat-adapters-for-baby-jogger-and-graco?_j=taylormadebabyco.com,,no,0,,yes,,current,productType=car seat adapter; active=t
"Baby Jogger Britax Car Seat Adapter, City Select 2, Black",,Baby Jogger,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9f2ke00496byelo83ecb3,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-car-seat-adapter-city-select-2-black%3Fvariant%3D39484248293462,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-car-seat-adapter-city-select-2-black%3Fvariant%3D39484248293462,54.99,yes,3,,yes,,current,productType=stroller adapter; active=t
"Baby Jogger Britax Mounting Bracket Car Seat Adapter for City Mini, Black",,Baby Jogger,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9drhx001l6byefitecyp2,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-mounting-bracket-car-seat-adapter-for-city-mini-black%3Fvariant%3D31251708051542,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbaby-jogger-britax-mounting-bracket-car-seat-adapter-for-city-mini-black%3Fvariant%3D31251708051542,29.95,yes,3,,yes,,current,productType=stroller adapter; active=t
BABY JOGGER Car Seat Adapter (City Select / City Premier) For Britax / BOB - Black,,Baby Jogger,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9dr7u001i6byejc6ptzvw,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-select-premier-britax-bob%3Fvariant%3D49935881732382,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-select-premier-britax-bob%3Fvariant%3D49935881732382,49.99,yes,0,,yes,,current,productType=stroller adapter; active=t
"BABY JOGGER Car Seat Adapter (City Select, City Select LUX, City Premier) For City GO / Graco",,Baby Jogger,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9d6gi000c6byeyinqyf93,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-single-baby-city-premier%3Fvariant%3D16411943665764,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-single-baby-city-premier%3Fvariant%3D16411943665764,54.99,yes,0,,yes,,current,productType=stroller adapter; active=t
BABY JOGGER Car Seat Adapter For City Mini 2 and GT2 City Go/Graco - Black,,Baby Jogger,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9dper001f6bye6uso27u5,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-mini-city-go-graco%3Fvariant%3D49936124510494,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-city-mini-city-go-graco%3Fvariant%3D49936124510494,54.99,yes,0,,yes,,current,productType=stroller adapter; active=t
Baby Jogger - Car Seat Adapter for City Mini 2 Double/City Mini Gt 2 Double,,Baby Jogger,,,,,DUAL_ADAPTER_SETUP,,,shopify_macrobaby,cmqx4kfxf00fc3a8u5o4m2y7g,,,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-for-city-mini-2-double-city-mini-gt-2-double?_j=taylormadebabyco.com,https://www.macrobaby.com/products/baby-jogger-car-seat-adapter-for-city-mini-2-double-city-mini-gt-2-double?_j=taylormadebabyco.com,49.99,yes,0,,yes,,current,productType=stroller adapter; active=t
