canonical_brand,canonical_model,stroller_id,compatibility_row_count,reason,recommended_action
Baby Jogger,City Mini 2,baby-jogger-city-mini-2,17,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Baby Jogger,City Mini Double,baby-jogger-city-mini-double,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Baby Jogger,City Mini GT2,baby-jogger-city-mini-gt2,13,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Baby Jogger,City Sights,baby-jogger-city-sights,12,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Baby Jogger,Summit X3,baby-jogger-summit-x3,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Baby Jogger,Summit X3 Single Jogging,cmqpqqx5f00087qll6393izdt,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
BOB,Alterrain Pro,bob-alterrain-pro,9,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
BOB,Rambler,bob-rambler,5,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
BOB,Renegade Wagon,bob-renegade-wagon,5,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Britax,B-Clever,britax-b-clever,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Britax,B-Lively,britax-b-lively,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Bugaboo,Ant,bugaboo-ant,9,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Bugaboo,Butterfly,bugaboo-butterfly,10,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Bugaboo,Donkey 5 Mono Single-to-Double,cmqx8d37p000813kp2s8z32r8,4,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Bugaboo,Dragonfly,bugaboo-dragonfly,14,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Chicco,Presto Self-Folding,cmqx8d3fk000b13kppay9p7j9,5,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Chicco,TRE Jogging,cmqpqqxzu000l7qllpiifamvz,5,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Beezy,cybex-beezy,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Eezy S Twist,cybex-eezy-s-twist,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Eezy S Twist 2,cmr1etpr3000a13feaabfd815,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Eos,cybex-eos,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Melio,cybex-melio,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Cybex,Mios,cybex-mios,13,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Delta,Children - Baby Gap 2-In-1 Carriage,cmqx8d3tu000h13kp26xfy08m,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Delta,Children - BabyGap Classic,cmqx8d3w4000i13kp1oasuckg,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Delta,Children - BabyGap Classic Side-by-Side Double,cmqx8d3yh000j13kpa32mwzvz,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Delta,Gap Classic Umbrella,cmqx8d3p1000f13kpf0wm1btn,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Delta,Jeep Adventureglyde,cmqx8d3rc000g13kpah1z5xvr,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Delta Children,Jeep Sport All-Terrain,cmqpqqy9e000p7qlljwy5ov4t,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Doona,Liki Trike S3,cmqpqqygi000s7qllluuleev1,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
Egg,Egg,egg-stroller,5,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Ergobaby,Metro 3,cmqx8d45a000m13kp1zi0195v,14,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Ergobaby,Metro 3 Compact,cmqpqqyix000t7qll3hkoln8m,4,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
