canonical_brand,canonical_model,display_name,car_seat_id,seat_type,lifecycle_status,source_table,in_carseat_table,in_affiliate_catalog,in_public_picker,picker_display_name,compatibility_row_count,compatible_stroller_count,babylist_url,amazon_url,other_retailer_url,image_available,duplicate_group,likely_duplicate_of,identity_issue,travel_system_only,notes
Baby Jogger,City GO 2,Baby Jogger City GO 2,baby-jogger-city-go-2,INFANT,,CarSeat,yes,,yes,Baby Jogger City GO 2 Infant Car Seat in Frosted Ivory,5,5,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=219570&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-go-2-infant-car-seat%2F15094%2F219570&intsrc=APIG_8981,,,yes,,,no,no,
Baby Trend,EZ-Lift Pro,Baby Trend EZ-Lift Pro,cmqx4qowc000038356zwhetli,INFANT,,CarSeat,yes,,yes,Baby Trend EZ-Lift Pro Infant Car Seat in Dash Black,4,4,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2181869&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-ez-lift-pro-infant-car-seat%2F58136%2F2181869&intsrc=CATF_8981,,,yes,,,no,no,
Baby Trend,Secure-Lift 35,Baby Trend Secure-Lift 35,cmqx4qp1700013835r8xduy8t,INFANT,,CarSeat,yes,,yes,Baby Trend Secure-Lift 35 Infant Car Seat in Dash Grey,2,2,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1701777&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-secure-lift-35-infant-car-seat%2F44801%2F1701777&intsrc=CATF_8981,,,yes,,,no,no,
Britax,Cypress S,Britax Cypress,britax-cypress-s,INFANT,,CarSeat,yes,,no,,25,25,,,,yes,,,yes,yes,
Britax,Willow S,Britax Willow S,britax-willow-s,INFANT,,CarSeat,yes,,yes,"Britax - Willow S Infant Car Seat with Alpine Anti-Rebound Base, Glacier Onyx",31,31,,,https://www.macrobaby.com/products/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-glacier-onyx?_j=taylormadebabyco.com,yes,,,yes,no,
Britax,Willow SC,,cmqt1dq4e00043u44vihpznhm,INFANT,,CarSeat,yes,,yes,"Britax - Willow SC Infant Car Seat, Rear Facing Car Seat",24,24,,,https://www.macrobaby.com/products/britax-willow-sc-infant-car-seat-rear-facing-car-seat?_j=taylormadebabyco.com,yes,,,yes,no,
Bugaboo,Turtle Air Shield by Nuna,Bugaboo Turtle Air Shield by Nuna,cmqx4qp4e00023835j1p6ghf9,INFANT,,CarSeat,yes,,yes,Bugaboo Turtle Air Shield by Nuna Car Seat + Recline Base | 100% Polyester,3,3,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2116047&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-turtle-air-shield-by-nuna-car-seat-recline-base%2F56787%2F2116047&intsrc=CATF_8981,,https://www.macrobaby.com/products/bugaboo-turtle-air-shield-by-nuna-car-seat?_j=taylormadebabyco.com,yes,,,no,no,
Chicco,KeyFit 30,Chicco KeyFit 30,chicco-keyfit-30,INFANT,,CarSeat,yes,,no,,52,52,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1101932&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-30-cleartex-infant-car-seat%2F24729%2F1101932&intsrc=APIG_8981,,,yes,,,no,yes,
Chicco,KeyFit 30 ClearTex,Chicco KeyFit 30 ClearTex,cmqx4qp6y00033835pgtlizxk,INFANT,,CarSeat,yes,,yes,Chicco KeyFit 30 ClearTex Infant Car Seat in Pewter,52,52,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1101932&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-30-cleartex-infant-car-seat%2F24729%2F1101932&intsrc=CATF_8981,,,yes,,,no,no,
Chicco,KeyFit Max ClearTex,Chicco KeyFit Max ClearTex,cmqx4qp9s00043835h85g6sl0,INFANT,,CarSeat,yes,,yes,Chicco KeyFit Max ClearTex Infant Car Seat in Legend,52,52,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383558&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-cleartex-infant-car-seat%2F71751%2F2383558&intsrc=CATF_8981,,,yes,,,no,no,
Chicco,KeyFit Max Zip ClearLux,Chicco KeyFit Max Zip ClearLux,cmqx4qpc50005383512d994gn,INFANT,,CarSeat,yes,,yes,Chicco KeyFit Max Zip ClearLux Infant Car Seat in Midori,52,52,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383554&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-clearlux-infant-car-seat%2F71749%2F2383554&intsrc=CATF_8981,,,yes,,,no,no,
Chicco,KeyFit Max Zip ClearTex,Chicco KeyFit Max Zip ClearTex,cmqx4qpeg00063835eten1p5s,INFANT,,CarSeat,yes,,yes,Chicco KeyFit Max Zip ClearTex Infant Car Seat in Apex,52,52,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383555&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-cleartex-infant-car-seat%2F71750%2F2383555&intsrc=CATF_8981,,https://www.macrobaby.com/products/chicco-keyfit-max-zip-cleartex-infant-car-seat-sierra?_j=taylormadebabyco.com,yes,,,no,no,
