stroller_brand,stroller_model,stroller_id,public_picker,total_rows,direct_rows,adapter_rows,limited_rows,incompatible_rows,distinct_car_seat_brands,distinct_car_seat_models
Bombi,Bēbee V3,cmr4c3kvd0003n624f7jarr1e,yes,35,0,35,0,0,11,35
BOB,Revolution Flex 3.0,bob-revolution-flex-3,yes,32,0,32,0,0,9,32
Baby Jogger,City Select 2,baby-jogger-city-select-2,yes,30,0,30,0,0,8,30
Cybex,e-Gazelle S,cmqzur4x60001eqf6vwexlatz,yes,30,0,30,0,0,8,30
Cybex,Gazelle S,cybex-gazelle-s,yes,30,0,30,0,0,8,30
Mockingbird,Single-to-Double,cmqpqr0rg001r7qllv13t2jq2,yes,30,0,30,0,0,10,30
Mockingbird,Single,cmqpqr0p5001q7qllhayemg9s,yes,27,0,27,0,0,10,27
Mockingbird,Single 3.0,mockingbird-single-3,no,27,0,27,0,0,10,27
Zoe,Tourᵛ³ Single,cmrcjace500074oz1dejl3tdr,yes,27,0,27,0,0,7,27
Bumbleride,Era,bumbleride-era,yes,25,0,25,0,0,6,25
Bumbleride,Indie,bumbleride-indie,yes,25,0,25,0,0,6,25
Bumbleride,Speed,bumbleride-speed,yes,25,0,25,0,0,6,25
UPPAbaby,Cruz V2,uppababy-cruz-v2,no,22,1,19,2,0,7,22
UPPAbaby,Cruz V3,uppababy-cruz-v3,yes,22,0,22,0,0,6,22
UPPAbaby,Vista V3,uppababy-vista-v3,yes,22,0,22,0,0,6,22
Zoe,Tour,cmr3zkwod0003977ime4xp5lt,no,21,0,21,0,0,5,21
Bombi,Bēbee Twin V2,cmrdx44lf00001sxj80plzl5e,yes,20,0,20,0,0,5,20
Thule,Shine,cmr1etqjy000f13fej5cpcpyj,yes,20,0,20,0,0,5,20
Thule,Spring 2,cmqpqr2bw002f7qll0aapcmwl,yes,20,0,20,0,0,5,20
Thule,Urban Glide 4-wheel,cmqx8m2rf000110nux9vv7skl,yes,20,0,20,0,0,5,20
UPPAbaby,Vista V2,uppababy-vista-v2,no,20,1,17,2,0,6,20
Baby Jogger,City Mini GT2 Double,cmqpqqwou00017qllo1wcl8jj,yes,19,0,19,0,0,5,19
BOB,Revolution Flex 3.0 Duallie,bob-revolution-flex-duallie-3,yes,19,0,19,0,0,5,19
Mompush,Wiz,cmqpqr19z001z7qllvwvfvx5w,yes,19,0,19,0,0,5,19
Baby Jogger,City Mini Double,baby-jogger-city-mini-double,no,18,0,18,0,0,5,18
Veer,All-Terrain Cruiser,cmqpqr2q1002l7qllrfy61aca,no,18,0,18,0,0,5,18
Veer,Cruiser,cmqx8m2to000210nuqbjpz9i5,yes,18,0,18,0,0,5,18
Veer,Cruiser City,cmqpqr2sf002m7qllr9yz4qzg,yes,18,0,18,0,0,5,18
Veer,Cruiser City XL Essentials,cmqpqr2uv002n7qlla8wick7v,no,18,0,18,0,0,5,18
Veer,Cruiser Wagon Comfort Seat for Toddlers,cmqpqr2xa002o7qll2zq1jk9u,no,18,0,18,0,0,5,18
Veer,Cruiser Wagon XL Comfort Seat for Toddlers,cmqpqr2zl002p7qll072jlg89,no,18,0,18,0,0,5,18
Veer,Cruiser XL Nap System,cmqpqr31z002q7qllv0snz6ag,no,18,0,18,0,0,5,18
Baby Jogger,City Mini 2,baby-jogger-city-mini-2,no,17,0,17,0,0,5,17
BOB,Wayfinder,bob-wayfinder,yes,17,0,17,0,0,5,17
UPPAbaby,Minu V3,uppababy-minu-v3,yes,17,0,17,0,0,5,17
UPPAbaby,Ridge V2,cmqpqr2nm002k7qllj1fowt14,yes,17,0,17,0,0,5,17
WonderFold,L2 Double,cmqpqr39a002t7qllgm23scrc,yes,17,0,17,0,0,4,17
WonderFold,L2 Double 2-Seater,cmqx8d7oy002413kpusrmz1ec,no,17,0,17,0,0,4,17
WonderFold,L4 Quad,cmqpqr3bn002u7qlld5uxymyd,yes,17,0,17,0,0,4,17
WonderFold,Volkswagon Special Edition Double,cmqx8d7rb002513kpqd05x0iu,yes,17,0,17,0,0,4,17
WonderFold,VW Edition Quad,cmqpqr3dz002v7qllt1am62qv,yes,17,0,17,0,0,4,17
WonderFold,W2 Elite Pro,cmqpqr3ga002w7qllvthvehzp,yes,17,0,17,0,0,4,17
WonderFold,W2 Luxe Double,cmqx8d7tx002613kpml2b3weg,yes,17,0,17,0,0,4,17
WonderFold,W2 Luxe Pro Double Seater,cmqpqr3im002x7qll506zzahr,yes,17,0,17,0,0,4,17
WonderFold,W4 Elite Pro,cmqpqr3l1002y7qll8v1j66mn,yes,17,0,17,0,0,4,17
WonderFold,W4 Luxe Pro,cmqpqr3nc002z7qllbrxqaram,yes,17,0,17,0,0,4,17
WonderFold,W4 Luxe Pro Quad,cmqx8d7w8002713kp1d671s1a,yes,17,0,17,0,0,4,17
WonderFold,W6 Luxe Pro,cmqpqr3pr00307qllcaal9ibq,yes,17,0,17,0,0,4,17
Zoe,Twin,cmr3zkwzx0007977ikgtihvzf,no,17,0,17,0,0,4,17
Zoe,Twinᵛ³ Double,cmrcjacgh00084oz1ca6s074p,yes,17,0,17,0,0,4,17
Bugaboo,Butterfly 2,bugaboo-butterfly-2,yes,16,0,16,0,0,5,16
Baby Jogger,City Mini GT3,cmqx8d2vr000313kps957hgge,yes,15,0,15,0,0,4,15
