compatibility_id,stroller_id,stroller_brand,stroller_model,stroller_display_name,stroller_in_public_picker,stroller_product_type,car_seat_id,car_seat_brand,car_seat_model,car_seat_display_name,car_seat_seat_type,car_seat_in_public_picker,compatibility_type,compatibility_status,confidence,adapter_required,adapter_type,adapter_url,adapter_price,adapter_sku,notes,source_url,source_name,source_type,source_date,verification_status,created_at,updated_at,inferred_or_explicit,inference_rule,hard_coded_rule_source,same_brand_pair,adapter_url_matches_affiliate_product,adapter_catalog_product_id,adapter_catalog_product_name,adapter_provider,duplicate_pair_count,duplicate_pair_key,stroller_identity_reconciles_to_picker,car_seat_identity_reconciles_to_picker,stroller_is_non_chassis_accessory,suspicious_same_brand_expansion,suspicious_euro_adapter_expansion,suspicious_brand_level_expansion,suspicious_universal_expansion
cmqu9hrum000bbq8ec0c3sozo,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,britax-cypress-s,Britax,Cypress S,Britax Cypress,INFANT,no,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-car-seat-adapter-for-britax%3Fvariant%3D49935880290590,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black"".",,,,,,2026-06-26 01:38:01.918,2026-06-26 01:38:01.918,inferred,adapter_title_inference,,no,yes,cmqu9dlwk00166byelj7so3ou,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,awin_anbbaby,1,baby-jogger-city-mini-2|britax-cypress-s,no,no,no,no,no,no,no
cmqu9hroj0007bq8e8njithgf,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,britax-willow-s,Britax,Willow S,Britax Willow S,INFANT,yes,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-car-seat-adapter-for-britax%3Fvariant%3D49935880290590,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black"".",,,,,,2026-06-26 01:38:01.698,2026-06-26 01:38:01.698,inferred,adapter_title_inference,,no,yes,cmqu9dlwk00166byelj7so3ou,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,awin_anbbaby,1,baby-jogger-city-mini-2|britax-willow-s,no,yes,no,no,no,no,no
cmqu9hrs30009bq8ebl6e6qga,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cmqt1dq4e00043u44vihpznhm,Britax,Willow SC,,INFANT,yes,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-car-seat-adapter-for-britax%3Fvariant%3D49935880290590,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black"".",,,,,,2026-06-26 01:38:01.828,2026-06-26 01:38:01.828,inferred,adapter_title_inference,,no,yes,cmqu9dlwk00166byelj7so3ou,BABY JOGGER City Mini 2 Car Seat Adapter For Britax - Black,awin_anbbaby,1,baby-jogger-city-mini-2|cmqt1dq4e00043u44vihpznhm,no,yes,no,no,no,no,no
baby-jogger-city-mini-2__clek-liing,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,clek-liing,Clek,Liing,Clek Liing,INFANT,yes,ADAPTER,,HIGH,true,Baby Jogger car seat adapter for Clek,,,,Clek Liing fits the Baby Jogger City Mini 2 via a Baby Jogger Clek infant seat adapter. Confirm the correct adapter SKU for your stroller model before purchase.,,,,,,2026-06-15 20:33:14.735,2026-06-15 20:33:14.735,inferred,other_rule_with_note,,no,no,,,,1,baby-jogger-city-mini-2|clek-liing,no,yes,no,no,no,no,no
baby-jogger-city-mini-2__clek-liingo,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,clek-liingo,Clek,Liingo,Clek Liingo,INFANT,no,ADAPTER,,HIGH,true,Baby Jogger car seat adapter for Clek,,,,Clek Liingo fits the Baby Jogger City Mini 2 via a Baby Jogger Clek infant seat adapter. Confirm the correct adapter SKU for your stroller model before purchase.,,,,,,2026-06-15 20:33:14.735,2026-06-15 20:33:14.735,inferred,other_rule_with_note,,no,no,,,,1,baby-jogger-city-mini-2|clek-liingo,no,no,no,no,no,no,no
cmqx4rdts003h70o04abpoh6z,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cmqx4qpgs00073835wm1de2we,Cybex,Aton G2,Cybex Aton G2,INFANT,yes,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-mini-gt-2-cybex-cybex-car-seat-adapter%3Fvariant%3D49935879700766,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black"".",,,,,,2026-06-28 01:48:50.753,2026-06-28 01:48:50.753,inferred,adapter_title_inference,,no,yes,cmqu9dlk800136byer3gq1e98,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,awin_anbbaby,1,baby-jogger-city-mini-2|cmqx4qpgs00073835wm1de2we,no,yes,no,no,no,no,no
cmrmtwf8i000n11u5i97sta6g,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cmrdwvbsy000u7tmavhnk64ww,Cybex,Aton G2 Swivel,CYBEX Aton G2 Swivel,INFANT,no,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-mini-gt-2-cybex-cybex-car-seat-adapter%3Fvariant%3D49935879700766,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black"".",,,,,,2026-07-16 01:26:50.658,2026-07-16 01:26:50.658,inferred,adapter_title_inference,,no,yes,cmqu9dlk800136byer3gq1e98,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,awin_anbbaby,1,baby-jogger-city-mini-2|cmrdwvbsy000u7tmavhnk64ww,no,no,no,no,no,no,no
cmqx4rdw4003j70o0sy0v76bt,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cmqx4qpj400083835htva49ii,Cybex,Cloud G Pro Comfort Extend,Cybex Cloud G Pro,INFANT,yes,ADAPTER,,MEDIUM,true,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-mini-gt-2-cybex-cybex-car-seat-adapter%3Fvariant%3D49935879700766,49.99,,"Inferred from the catalog adapter ""BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black"".",,,,,,2026-06-28 01:48:50.836,2026-06-28 01:48:50.836,inferred,adapter_title_inference,,no,yes,cmqu9dlk800136byer3gq1e98,BABY JOGGER City Mini 2 / Mini GT 2 Cybex / Clek Car Seat Adapter - Black,awin_anbbaby,1,baby-jogger-city-mini-2|cmqx4qpj400083835htva49ii,no,yes,no,no,no,no,no
baby-jogger-city-mini-2__cybex-cloud-t,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cybex-cloud-t,Cybex,Cloud T,CYBEX Cloud T,INFANT,yes,ADAPTER,,MEDIUM,true,Baby Jogger adapter for Maxi-Cosi / Nuna / CYBEX / Clek infant seats,,,,"Cloud T has a wider premium adapter lane than most, but it is still an adapter decision on this stroller.",,,,,,2026-03-22 17:19:43.93,2026-03-22 17:19:43.93,inferred,other_rule_with_note,,no,no,,,,1,baby-jogger-city-mini-2|cybex-cloud-t,no,yes,no,no,no,no,no
cmqx4rdp2003d70o0570fidnc,baby-jogger-city-mini-2,Baby Jogger,City Mini 2,Baby Jogger City Mini 2,no,,cmqx4qqbg000k3835k8b3mf6l,Maxi-Cosi,Ambra,Maxi-Cosi Ambra,INFANT,yes,ADAPTER,,MEDIUM,true,"Baby Jogger Maxi-Cosi Car Seat Adapter, City Mini 2, City Mini GT2 - Black",https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-gt-2-maxi-cosi-car-seat-adapter%3Fvariant%3D49919751749918,49.99,,"Inferred from the catalog adapter ""Baby Jogger Maxi-Cosi Car Seat Adapter, City Mini 2, City Mini GT2 - Black"".",,,,,,2026-06-28 01:48:50.583,2026-06-28 01:48:50.583,inferred,adapter_title_inference,,no,yes,cmqu9dlar00106byep7v0zvrr,"Baby Jogger Maxi-Cosi Car Seat Adapter, City Mini 2, City Mini GT2 - Black",awin_anbbaby,1,baby-jogger-city-mini-2|cmqx4qqbg000k3835k8b3mf6l,no,yes,no,no,no,no,no
