canonical_brand,canonical_model,display_name,stroller_id,product_type,lifecycle_status,source_table,in_stroller_table,in_affiliate_catalog,in_public_picker,picker_display_name,compatibility_row_count,compatible_car_seat_count,retailer_babylist,retailer_amazon,retailer_macrobaby,retailer_bombi,retailer_brand_direct,image_available,duplicate_group,likely_duplicate_of,accessory_not_stroller,travel_system_status,notes
Baby Jogger,City Mini 2,Baby Jogger City Mini 2,baby-jogger-city-mini-2,,,Stroller,yes,no,no,,17,17,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:17
Baby Jogger,City Mini Air,Baby Jogger City Mini Air,cmqpqqwk300007qlluagi0835,Compact / Mid-Size,,Stroller,yes,no,yes,Baby Jogger City Mini Air Stroller in Rich Black,14,14,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:14
Baby Jogger,City Mini Double,Baby Jogger City Mini Double,baby-jogger-city-mini-double,,,Stroller,yes,no,no,,18,18,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:18
Baby Jogger,City Mini GT2,Baby Jogger City Mini GT2,baby-jogger-city-mini-gt2,,,Stroller,yes,no,no,,13,13,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:13
Baby Jogger,City Mini GT2 Double,Baby Jogger City Mini GT2 Double,cmqpqqwou00017qllo1wcl8jj,Double,,Stroller,yes,no,yes,Baby Jogger City Mini GT2 Double Stroller in Jet,19,19,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:19
Baby Jogger,City Mini GT3,Baby Jogger City Mini GT3,cmqx8d2vr000313kps957hgge,Jogging / All-Terrain,,Stroller,yes,yes,yes,"Baby Jogger City Mini GT3 All Terrain Stroller, Sierra Sand",15,15,yes,no,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:15
Baby Jogger,City Prix Jogger,Baby Jogger City Prix Jogger,cms532d8l0001fa3swiip1z36,Jogging / All-Terrain,,Stroller,yes,no,yes,Baby Jogger City Prix Jogger Stroller in Ambition Black,0,0,yes,no,no,no,no,yes,,,no,ZERO_MATCHES_NEEDS_AUDIT,
Baby Jogger,City Select 2,Baby Jogger City Select 2,baby-jogger-city-select-2,Single-to-Double,,Stroller,yes,yes,yes,"""Baby Jogger City Select 2 Stroller, Eco Collection in Lunar Black Size 35"""" x 23.8"""" x 41.1""""""",30,30,yes,yes,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:30
Baby Jogger,City Sights,Baby Jogger City Sights,baby-jogger-city-sights,,,Stroller,yes,no,no,,12,12,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:12
Baby Jogger,City Tour 2,Baby Jogger City Tour 2,baby-jogger-city-tour-2,Travel,,Stroller,yes,no,yes,"""Baby Jogger City Tour 2 Stroller, Eco Collection in Eco Black Size 37.75"""" x 19.6"""" x 39.5""""""",7,7,yes,yes,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:7
Baby Jogger,City Tour 2 Double,Baby Jogger City Tour 2 Double,cmqpqqwyc00057qllcxfjsi2l,Double,,Stroller,yes,no,yes,Baby Jogger City Tour 2 Double Stroller in Jet,7,7,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:7
Baby Jogger,Summit X3,Baby Jogger Summit X3,baby-jogger-summit-x3,,,Stroller,yes,no,no,,0,0,yes,no,no,no,no,yes,,,no,ZERO_MATCHES_NEEDS_AUDIT,
Baby Jogger,Summit X3 Double,Baby Jogger Summit X3 Double,cmqx8d2qs000113kpyh2zxwjx,Double,,Stroller,yes,no,yes,"""Baby Jogger Summit X3 Double Jogging Stroller in Midnight Black Size 53.15"""" x 32.48"""" x 40.55""""""",5,5,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:5
Baby Jogger,Summit X3 Single,Baby Jogger Summit X3 Single,cms532d390000fa3sxcfko9z9,Jogging / All-Terrain,,Stroller,yes,yes,yes,"Baby Jogger - Summit X3 Jogging Single Stroller, Midnight Black",0,0,no,no,yes,no,no,yes,,,no,ZERO_MATCHES_NEEDS_AUDIT,
Baby Jogger,Summit X3 Single Jogging,Baby Jogger Summit X3 Single Jogging,cmqpqqx5f00087qll6393izdt,,,Stroller,yes,no,no,,7,7,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:7
Baby Trend,Expedition 2-in-1,Baby Trend Expedition 2-in-1,cmqpqqx7s00097qllgw33pm0i,Wagon,,Stroller,yes,yes,yes,Baby Trend Expedition 2-in-1 Stroller Wagon PLUS in Ultra Gray,2,2,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,DIRECT:2
Baby Trend,Expedition Zero Flat Jogger with LED Lights,Baby Trend Expedition Zero Flat Jogger with LED Lights,cmqx8m2mu000010nue3nlua93,Jogging / All-Terrain,,Stroller,yes,no,yes,Baby Trend Expedition Zero Flat Jogger with LED Lights in Dash Grey,2,2,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,DIRECT:2
Bellini,Juno Auto-Folding,Bellini Juno Auto-Folding,cmqx8d2y6000413kpljiz2u0c,Travel,,Stroller,yes,no,yes,Bellini Juno Compact Auto-Folding Stroller in Black,0,0,yes,no,no,no,no,yes,,,no,NOT_TRAVEL_SYSTEM_COMPATIBLE,
BOB,Alterrain Pro,BOB Alterrain Pro,bob-alterrain-pro,,,Stroller,yes,no,no,,9,9,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:9
BOB,Rambler,BOB Rambler,bob-rambler,,,Stroller,yes,no,no,,5,5,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:5
BOB,Renegade Wagon,BOB Renegade Wagon,bob-renegade-wagon,,,Stroller,yes,no,no,,5,5,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:5
BOB,Revolution Flex 3.0,BOB Revolution Flex 3.0,bob-revolution-flex-3,Jogging / All-Terrain,,Stroller,yes,yes,yes,BOB Gear Revolution Flex 3.0 Single Jogging Stroller,32,32,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:32
BOB,Revolution Flex 3.0 Duallie,BOB Revolution Flex 3.0 Duallie,bob-revolution-flex-duallie-3,Double,,Stroller,yes,yes,yes,BOB Gear Revolution Flex 3.0 Duallie Double Jogging Stroller,19,19,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:19
BOB,Wayfinder,BOB Wayfinder,bob-wayfinder,Jogging / All-Terrain,,Stroller,yes,yes,yes,"BOB - Wayfinder Jogging Stroller, Nightfall",17,17,no,yes,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:17
Bombi,Bēbee Twin V2,Bombi Bēbee Twin V2,cmrdx44lf00001sxj80plzl5e,Double,,Stroller,yes,yes,yes,Bombi Bēbee Twin V2,20,20,no,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:20
Bombi,Bēbee V3,Bombi Bēbee V3,cmr4c3kvd0003n624f7jarr1e,Travel,,Stroller,yes,yes,yes,Bombi Bēbee V3 Lightweight Stroller,35,35,no,yes,no,yes,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:35
Britax,B-Clever,Britax B-Clever,britax-b-clever,,,Stroller,yes,no,no,,0,0,no,no,no,no,no,no,,,no,ZERO_MATCHES_NEEDS_AUDIT,
Britax,B-Lively,Britax B-Lively,britax-b-lively,,,Stroller,yes,no,no,,0,0,no,no,no,no,no,no,,,no,ZERO_MATCHES_NEEDS_AUDIT,
Britax,Brook+ Modular Baby,Britax Brook+ Modular Baby,cmqx8d30k000513kpwtvwppgv,Full-Size,,Stroller,yes,yes,yes,Britax - Brook+ Modular Baby Stroller,3,3,no,no,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,DIRECT:3
Britax,Grove Modular,Britax Grove Modular,cmqpqqxci000b7qllamksybtj,Full-Size,,Stroller,yes,no,yes,Britax Grove Modular Stroller in Pindot Stone,3,3,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,DIRECT:3
Britax,Juniper On-The-Go,Britax Juniper On-The-Go,cmqx8d330000613kpkfkfo7ak,Travel,,Stroller,yes,yes,yes,"Britax - Juniper Compact On-The-Go Stroller, Raven Black",15,15,no,no,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:15
Britax,Prism Modular,Britax Prism Modular,cmqpqqxey000c7qll5fop3oe7,Full-Size,,Stroller,yes,no,yes,Britax Prism Modular Stroller in Teak,7,7,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:7
Bugaboo,Ant,Bugaboo Ant,bugaboo-ant,,,Stroller,yes,yes,no,,9,9,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:9
Bugaboo,Butterfly,Bugaboo Butterfly,bugaboo-butterfly,,,Stroller,yes,no,no,,10,10,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:10
Bugaboo,Butterfly 2,Bugaboo Butterfly 2,bugaboo-butterfly-2,Travel,,Stroller,yes,yes,yes,Bugaboo Butterfly 2 Complete Stroller,16,16,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:16
Bugaboo,Donkey 5 Mono Single-to-Double,Bugaboo Donkey 5 Mono Single-to-Double,cmqx8d37p000813kp2s8z32r8,,,Stroller,yes,no,no,,4,4,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:4
Bugaboo,Donkey 6,Bugaboo Donkey 6,bugaboo-donkey-6,Single-to-Double,,Stroller,yes,yes,yes,Bugaboo Donkey 6 Complete Stroller Black/Fern Green,14,14,yes,no,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:14
Bugaboo,Dragonfly,Bugaboo Dragonfly,bugaboo-dragonfly,,,Stroller,yes,yes,no,,14,14,no,no,no,no,no,no,,,no,HAS_VERIFIED_MATCHES,ADAPTER:12; LIMITED:2
Bugaboo,Dragonfly Plus,Bugaboo Dragonfly Plus,cmr2vgyqo0006ea9ukrzht5sg,Compact / Mid-Size,,Stroller,yes,yes,yes,Bugaboo Dragonfly Plus Seat Stroller,14,14,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:14
Bugaboo,Fox 5,Bugaboo Fox 5,bugaboo-fox-5,Full-Size,,Stroller,yes,yes,yes,Bugaboo Fox 5 Renew Complete Stroller,15,15,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:15
Bugaboo,Kangaroo,Bugaboo Kangaroo,bugaboo-kangaroo,Single-to-Double,,Stroller,yes,no,yes,Bugaboo Kangaroo Stroller in Moon Grey,15,15,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:15
Bumbleride,Era,Bumbleride Era,bumbleride-era,Full-Size,,Stroller,yes,no,yes,Bumbleride Era Stroller in Dusk | 100% Recycled,25,25,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:25
Bumbleride,Indie,Bumbleride Indie,bumbleride-indie,Jogging / All-Terrain,,Stroller,yes,yes,yes,Bumbleride Indie in Black | 100% Recycled,25,25,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:25
Bumbleride,Indie Twin,Bumbleride Indie Twin,cms532db50002fa3stwd6931e,Double,,Stroller,yes,yes,yes,Bumbleride Indie Twin Double Jogging Stroller,15,15,yes,yes,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:15
Bumbleride,Speed,Bumbleride Speed,bumbleride-speed,Jogging / All-Terrain,,Stroller,yes,no,yes,Bumbleride Speed Stroller in Black | 100% Recycled,25,25,yes,no,no,no,no,yes,,,no,HAS_VERIFIED_MATCHES,ADAPTER:25
Chicco,BravoFor2 Standing/Sitting Double,Chicco BravoFor2 Standing/Sitting Double,cmqx8d3hx000c13kp688wv2ch,Double,,Stroller,yes,yes,yes,"Chicco BravoFor2 Standing/Sitting Double Stroller, Iron",5,5,no,no,yes,no,no,yes,,,no,HAS_VERIFIED_MATCHES,DIRECT:5
